AL,1982,1,108.63
AL,1982,2,106.44
AL,1982,3,107.10
AL,1982,4,114.95
AL,1983,1,114.42
AL,1983,2,113.99
AL,1983,3,116.69
AL,1983,4,113.38
AL,1984,1,121.92
AL,1984,2,120.34
AL,1984,3,124.24
AL,1984,4,120.83
AL,1985,1,120.41
AL,1985,2,124.37
AL,1985,3,126.82
AL,1985,4,127.70
AL,1986,1,128.88
AL,1986,2,131.41
AL,1986,3,132.99
AL,1986,4,135.42
AL,1987,1,137.53
AL,1987,2,138.70
AL,1987,3,139.24
AL,1987,4,138.02
AL,1988,1,141.61
AL,1988,2,142.68
AL,1988,3,142.19
AL,1988,4,140.72
AL,1989,1,141.08
AL,1989,2,142.86
AL,1989,3,145.05
AL,1989,4,146.12
AL,1990,1,145.05
AL,1990,2,146.17
AL,1990,3,146.78
AL,1990,4,146.88
AL,1991,1,148.13
AL,1991,2,150.36
AL,1991,3,151.19
AL,1991,4,153.69
AL,1992,1,154.93
AL,1992,2,155.12
AL,1992,3,158.07
AL,1992,4,159.37
AL,1993,1,160.45
AL,1993,2,162.25
AL,1993,3,165.06
AL,1993,4,166.50
AL,1994,1,167.56
AL,1994,2,169.66
AL,1994,3,170.27
AL,1994,4,170.32
AL,1995,1,172.07
AL,1995,2,175.44
AL,1995,3,178.23
AL,1995,4,179.70
AL,1996,1,182.76
AL,1996,2,182.71
AL,1996,3,183.03
AL,1996,4,185.25
AL,1997,1,187.39
AL,1997,2,188.61
AL,1997,3,191.53
AL,1997,4,193.97
AL,1998,1,197.18
AL,1998,2,198.54
AL,1998,3,200.84
AL,1998,4,203.35
AL,1999,1,204.03
AL,1999,2,204.83
AL,1999,3,205.16
AL,1999,4,206.74
AL,2000,1,207.46
AL,2000,2,209.22
AL,2000,3,210.89
AL,2000,4,213.59
AL,2001,1,219.81
AL,2001,2,220.78
AL,2001,3,222.33
AL,2001,4,224.81
AL,2002,1,225.23
AL,2002,2,226.31
AL,2002,3,229.71
AL,2002,4,232.39
AL,2003,1,234.72
AL,2003,2,236.87
AL,2003,3,238.46
AL,2003,4,239.87
AL,2004,1,242.26
AL,2004,2,243.78
AL,2004,3,248.21
AL,2004,4,251.93
AL,2005,1,255.22
AL,2005,2,261.30
AL,2005,3,266.83
AL,2005,4,272.19
AL,2006,1,277.85
AL,2006,2,282.35
AL,2006,3,286.82
AL,2006,4,292.37
AL,2007,1,294.21
AL,2007,2,298.28
AL,2007,3,299.04
AL,2007,4,301.22
AL,2008,1,303.18
AL,2008,2,302.05
AL,2008,3,299.78
AL,2008,4,301.31
AL,2009,1,303.41
AL,2009,2,300.23
AL,2009,3,293.14
AL,2009,4,292.18
AL,2010,1,287.92
AL,2010,2,283.61
AL,2010,3,287.46
AL,2010,4,285.17
AL,2011,1,277.56
AL,2011,2,273.83
AL,2011,3,275.91
AL,2011,4,278.16
AL,2012,1,275.24
AL,2012,2,273.40
AL,2012,3,275.24
AL,2012,4,275.66
AL,2013,1,272.91
AL,2013,2,273.56
AL,2013,3,273.02
AL,2013,4,271.90
AL,2014,1,273.61
AL,2014,2,274.23
AL,2014,3,277.22
AL,2014,4,278.63
AL,2015,1,281.59
AL,2015,2,282.30
AL,2015,3,284.03
AL,2015,4,285.89
AL,2016,1,286.54
AL,2016,2,290.57
AL,2016,3,295.03
AL,2016,4,294.13
AL,2017,1,295.75
AL,2017,2,299.30
AL,2017,3,302.02
AL,2017,4,304.14
AL,2018,1,307.33
AL,2018,2,311.82
AL,2018,3,314.86
AL,2018,4,315.30
AL,2019,1,321.30
AL,2019,2,325.81
AL,2019,3,330.47
AL,2019,4,334.31
AL,2020,1,338.31
AL,2020,2,343.18
AL,2020,3,349.86
AL,2020,4,357.19
AL,2021,1,364.66
AL,2021,2,381.48
AL,2021,3,403.13
AL,2021,4,419.47
AL,2022,1,431.60
AL,2022,2,455.44
AL,2022,3,468.36
AL,2022,4,468.17
AL,2023,1,473.71
AL,2023,2,481.70
AL,2023,3,490.54
AL,2023,4,489.24
AL,2024,1,497.06
AL,2024,2,507.42
AL,2024,3,514.54
AL,2024,4,519.74
AL,2025,1,518.83
AL,2025,2,530.12
AL,2025,3,529.83
AL,2025,4,538.60
AL,2026,1,540.51
AR,1975,1,67.32
AR,1975,2,60.21
AR,1975,3,64.89
AR,1975,4,61.98
AR,1976,1,66.20
AR,1976,2,68.01
AR,1976,3,70.51
AR,1976,4,71.58
AR,1977,1,72.49
AR,1977,2,75.39
AR,1977,3,76.77
AR,1977,4,79.87
AR,1978,1,80.05
AR,1978,2,80.82
AR,1978,3,85.43
AR,1978,4,84.83
AR,1979,1,90.45
AR,1979,2,93.95
AR,1979,3,98.32
AR,1979,4,101.05
AR,1980,1,100.00
AR,1980,2,100.47
AR,1980,3,105.36
AR,1980,4,107.93
AR,1981,1,106.87
AR,1981,2,105.85
AR,1981,3,108.68
AR,1981,4,102.39
AR,1982,1,101.30
AR,1982,2,105.12
AR,1982,3,109.86
AR,1982,4,107.87
AR,1983,1,111.61
AR,1983,2,114.95
AR,1983,3,115.74
AR,1983,4,116.71
AR,1984,1,118.75
AR,1984,2,116.72
AR,1984,3,118.21
AR,1984,4,119.49
AR,1985,1,119.37
AR,1985,2,118.37
AR,1985,3,122.77
