DATAFLOW,REF_AREA,FREQ,MEASURE,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE,DECIMALS,OBS_STATUS,UNIT_MULT,CONF_STATUS,BASE_PER
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),FI1D,_O,LCC_SUR_ART_GAIN,KM2,2015,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),ISL,_O,LCC_SUR_ART_GAIN,KM2,2015,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),IS01,_O,LCC_SUR_ART_GAIN,KM2,2015,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),IS02,_O,LCC_SUR_ART_GAIN,KM2,2015,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),NZ25,_O,LCC_SUR_ART_GAIN,KM2,2015,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),NO06,_O,LCC_SUR_ART_GAIN,KM2,2015,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),NO07,_O,LCC_SUR_ART_GAIN,KM2,2015,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),SE32,_O,LCC_SUR_ART_GAIN,KM2,2015,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),SE33,_O,LCC_SUR_ART_GAIN,KM2,2015,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),US02,_O,LCC_SUR_ART_GAIN,KM2,2015,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),BVT,_O,LC_SUR_ART,KM2,2015,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),IOT,_O,LC_SUR_ART,KM2,2015,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),CXR,_O,LC_SUR_ART,KM2,2015,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),FRO,_O,LC_SUR_ART,KM2,2015,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),ATF,_O,LC_SUR_ART,KM2,2015,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),HMD,_O,LC_SUR_ART,KM2,2015,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),KIR,_O,LC_SUR_ART,KM2,2015,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),MDV,_O,LC_SUR_ART,KM2,2015,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),MHL,_O,LC_SUR_ART,KM2,2015,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),NRU,_O,LC_SUR_ART,KM2,2015,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),NFK,_O,LC_SUR_ART,KM2,2015,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),PCN,_O,LC_SUR_ART,KM2,2015,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),RU19,_O,LCC_SUR_ART_GAIN,KM2,2015,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),RU22,_O,LCC_SUR_ART_GAIN,KM2,2015,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),RU27,_O,LCC_SUR_ART_GAIN,KM2,2015,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),RU59,_O,LCC_SUR_ART_GAIN,KM2,2015,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),RU80,_O,LCC_SUR_ART_GAIN,KM2,2015,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),RU83,_O,LCC_SUR_ART_GAIN,KM2,2015,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),SGS,_O,LC_SUR_ART,KM2,2015,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),SJM,_O,LC_SUR_ART,KM2,2015,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),TUV,_O,LC_SUR_ART,KM2,2015,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),CA60,_O,LCC_SUR_ART_GAIN,KM2,2010,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),CA61,_O,LCC_SUR_ART_GAIN,KM2,2010,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),CA62,_O,LCC_SUR_ART_GAIN,KM2,2010,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),CL11,_O,LCC_SUR_ART_GAIN,KM2,2010,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),CL12,_O,LCC_SUR_ART_GAIN,KM2,2010,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),CO27,_O,LCC_SUR_ART_GAIN,KM2,2010,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),FI19,_O,LCC_SUR_ART_GAIN,KM2,2010,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),FI1B,_O,LCC_SUR_ART_GAIN,KM2,2010,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),FI1D,_O,LCC_SUR_ART_GAIN,KM2,2010,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),FRY5,_O,LCC_SUR_ART_GAIN,KM2,2010,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),ISL,_O,LCC_SUR_ART_GAIN,KM2,2010,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),IS01,_O,LCC_SUR_ART_GAIN,KM2,2010,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),IS02,_O,LCC_SUR_ART_GAIN,KM2,2010,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),NZ22,_O,LCC_SUR_ART_GAIN,KM2,2010,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),NZ25,_O,LCC_SUR_ART_GAIN,KM2,2010,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),NO06,_O,LCC_SUR_ART_GAIN,KM2,2010,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),NO07,_O,LCC_SUR_ART_GAIN,KM2,2010,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),SE32,_O,LCC_SUR_ART_GAIN,KM2,2010,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),SE33,_O,LCC_SUR_ART_GAIN,KM2,2010,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),US02,_O,LCC_SUR_ART_GAIN,KM2,2010,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),BVT,_O,LC_SUR_ART,KM2,2010,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),IOT,_O,LC_SUR_ART,KM2,2010,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),CXR,_O,LC_SUR_ART,KM2,2010,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),FRO,_O,LC_SUR_ART,KM2,2010,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),ATF,_O,LC_SUR_ART,KM2,2010,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),HMD,_O,LC_SUR_ART,KM2,2010,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),KIR,_O,LC_SUR_ART,KM2,2010,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),MDV,_O,LC_SUR_ART,KM2,2010,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),MHL,_O,LC_SUR_ART,KM2,2010,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),MSR,_O,LC_SUR_ART,KM2,2010,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),NRU,_O,LC_SUR_ART,KM2,2010,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),NFK,_O,LC_SUR_ART,KM2,2010,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),PE09,_O,LCC_SUR_ART_GAIN,KM2,2010,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),PCN,_O,LC_SUR_ART,KM2,2010,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),RU19,_O,LCC_SUR_ART_GAIN,KM2,2010,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),RU22,_O,LCC_SUR_ART_GAIN,KM2,2010,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),RU27,_O,LCC_SUR_ART_GAIN,KM2,2010,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),RU59,_O,LCC_SUR_ART_GAIN,KM2,2010,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),RU80,_O,LCC_SUR_ART_GAIN,KM2,2010,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),RU83,_O,LCC_SUR_ART_GAIN,KM2,2010,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),SGS,_O,LC_SUR_ART,KM2,2010,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),SJM,_O,LC_SUR_ART,KM2,2010,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),TUV,_O,LC_SUR_ART,KM2,2010,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),CA60,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),CA61,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),CA62,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),CL04,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),CL07,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),CL09,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),CL10,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),CL11,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),CL12,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),CL14,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),CL15,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),CO11,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),CO17,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
