FREQ,REF_AREA,VALUE,UNIT_MEASURE,UNIT_MULT,BREAKS,COVERAGE,TITLE_TS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK
Q,XM,R,628,0,,,,1996-Q1,74.4816,A,F,
Q,XM,R,628,0,,,,1996-Q2,74.3475,A,F,
Q,XM,R,628,0,,,,1996-Q3,75.2494,A,F,
Q,XM,R,628,0,,,,1996-Q4,75.1375,A,F,
Q,XM,R,628,0,,,,1997-Q1,74.1839,A,F,
Q,XM,R,628,0,,,,1997-Q2,75.1639,A,F,
Q,XM,R,628,0,,,,1997-Q3,75.5137,A,F,
Q,XM,R,628,0,,,,1997-Q4,75.6318,A,F,
Q,XM,R,628,0,,,,1998-Q1,75.0995,A,F,
Q,XM,R,628,0,,,,1998-Q2,75.6339,A,F,
Q,XM,R,628,0,,,,1998-Q3,76.6472,A,F,
Q,XM,R,628,0,,,,1998-Q4,77.2279,A,F,
Q,XM,R,628,0,,,,1999-Q1,77.6572,A,F,
Q,XM,R,628,0,,,,1999-Q2,78.2448,A,F,
Q,XM,R,628,0,,,,1999-Q3,79.8225,A,F,
Q,XM,R,628,0,,,,1999-Q4,80.0084,A,F,
Q,XM,R,628,0,,,,2000-Q1,80.8489,A,F,
Q,XM,R,628,0,,,,2000-Q2,81.6017,A,F,
Q,XM,R,628,0,,,,2000-Q3,82.4572,A,F,
Q,XM,R,628,0,,,,2000-Q4,82.4796,A,F,
Q,XM,R,628,0,,,,2001-Q1,83.372,A,F,
Q,XM,R,628,0,,,,2001-Q2,83.3475,A,F,
Q,XM,R,628,0,,,,2001-Q3,84.6042,A,F,
Q,XM,R,628,0,,,,2001-Q4,84.751,A,F,
Q,XM,R,628,0,,,,2002-Q1,86.0175,A,F,
Q,XM,R,628,0,,,,2002-Q2,86.8357,A,F,
Q,XM,R,628,0,,,,2002-Q3,88.4051,A,F,
Q,XM,R,628,0,,,,2002-Q4,88.4224,A,F,
Q,XM,R,628,0,,,,2003-Q1,89.2049,A,F,
Q,XM,R,628,0,,,,2003-Q2,90.2353,A,F,
Q,XM,R,628,0,,,,2003-Q3,91.6705,A,F,
Q,XM,R,628,0,,,,2003-Q4,92.1403,A,F,
Q,XM,R,628,0,,,,2004-Q1,92.9568,A,F,
Q,XM,R,628,0,,,,2004-Q2,93.9101,A,F,
Q,XM,R,628,0,,,,2004-Q3,95.777,A,F,
Q,XM,R,628,0,,,,2004-Q4,96.5509,A,F,
Q,XM,R,628,0,,,,2005-Q1,98.0365,A,F,
Q,XM,R,628,0,,,,2005-Q2,98.6912,A,F,
Q,XM,R,628,0,,,,2005-Q3,100.2647,A,F,
Q,XM,R,628,0,,,,2005-Q4,100.969,A,F,
Q,XM,R,628,0,,,,2006-Q1,101.8696,A,F,
Q,XM,R,628,0,,,,2006-Q2,102.9089,A,F,
Q,XM,R,628,0,,,,2006-Q3,104.9819,A,F,
Q,XM,R,628,0,,,,2006-Q4,105.454,A,F,
Q,XM,R,628,0,,,,2007-Q1,106.334,A,F,
Q,XM,R,628,0,,,,2007-Q2,106.1809,A,F,
Q,XM,R,628,0,,,,2007-Q3,107.5859,A,F,
Q,XM,R,628,0,,,,2007-Q4,106.5096,A,F,
Q,XM,R,628,0,,,,2008-Q1,106.6949,A,F,
Q,XM,R,628,0,,,,2008-Q2,105.4998,A,F,
Q,XM,R,628,0,,,,2008-Q3,105.0101,A,F,
