ccaa,origen,h,metodo,y,yhat,scale,ae,e
Andalucía,2019Q4,1,gbm_demanda,119.43868387223924,119.29571156509975,5.358017583171105,0.1429723071394875,0.1429723071394875
Andalucía,2019Q4,2,gbm_demanda,119.61247150196408,120.41894561581125,5.358017583171105,0.8064741138471732,-0.8064741138471732
Andalucía,2019Q4,3,gbm_demanda,120.81823515974575,121.71093895548496,5.358017583171105,0.8927037957392088,-0.8927037957392088
Andalucía,2019Q4,4,gbm_demanda,120.51724215156251,122.1817671355617,5.358017583171105,1.6645249839991862,-1.6645249839991862
Andalucía,2019Q4,5,gbm_demanda,120.21624914337929,122.11757599889044,5.358017583171105,1.901326855511158,-1.901326855511158
Andalucía,2019Q4,6,gbm_demanda,123.87833074294213,124.72227413988726,5.358017583171105,0.8439433969451358,-0.8439433969451358
Andalucía,2019Q4,7,gbm_demanda,128.11910723323825,127.26486055775253,5.358017583171105,0.8542466754857259,0.8542466754857259
Andalucía,2019Q4,8,gbm_demanda,130.1776844142058,127.56830840044178,5.358017583171105,2.6093760137640203,2.6093760137640203
Andalucía,2020Q1,1,gbm_demanda,119.61247150196408,120.5586568942473,5.344138823071554,0.9461853922832262,-0.9461853922832262
Andalucía,2020Q1,2,gbm_demanda,120.81823515974575,122.1383823755245,5.344138823071554,1.3201472157787464,-1.3201472157787464
Andalucía,2020Q1,3,gbm_demanda,120.51724215156251,122.43691813657358,5.344138823071554,1.919675985011068,-1.919675985011068
Andalucía,2020Q1,4,gbm_demanda,120.21624914337929,122.51845984989842,5.344138823071554,2.3022107065191335,-2.3022107065191335
Andalucía,2020Q1,5,gbm_demanda,123.87833074294213,124.06869770005777,5.344138823071554,0.19036695711564278,-0.19036695711564278
Andalucía,2020Q1,6,gbm_demanda,128.11910723323825,124.98309461543953,5.344138823071554,3.136012617798727,3.136012617798727
Andalucía,2020Q1,7,gbm_demanda,130.1776844142058,124.95693700902565,5.344138823071554,5.220747405180148,5.220747405180148
Andalucía,2020Q1,8,gbm_demanda,133.30048687410698,126.83756674517714,5.344138823071554,6.462920128929838,6.462920128929838
Andalucía,2020Q2,1,gbm_demanda,120.81823515974575,121.08194782412183,5.288176073120115,0.2637126643760723,-0.2637126643760723
Andalucía,2020Q2,2,gbm_demanda,120.51724215156251,120.41304799083854,5.288176073120115,0.1041941607239778,0.1041941607239778
Andalucía,2020Q2,3,gbm_demanda,120.21624914337929,121.50020903648118,5.288176073120115,1.283959893101894,-1.283959893101894
Andalucía,2020Q2,4,gbm_demanda,123.87833074294213,120.67738186450744,5.288176073120115,3.200948878434687,3.200948878434687
Andalucía,2020Q2,5,gbm_demanda,128.11910723323825,120.23312872824586,5.288176073120115,7.885978504992394,7.885978504992394
Andalucía,2020Q2,6,gbm_demanda,130.1776844142058,122.90380381188808,5.288176073120115,7.273880602317718,7.273880602317718
Andalucía,2020Q2,7,gbm_demanda,133.30048687410698,123.63504360188173,5.288176073120115,9.665443272225247,9.665443272225247
Andalucía,2020Q2,8,gbm_demanda,136.5254119617846,124.90103553545046,5.288176073120115,11.624376426334152,11.624376426334152
Andalucía,2020Q3,1,gbm_demanda,120.51724215156251,120.5151542003904,5.207301024552223,0.002087951172114799,0.002087951172114799
Andalucía,2020Q3,2,gbm_demanda,120.21624914337929,121.29900207593339,5.207301024552223,1.0827529325541008,-1.0827529325541008
Andalucía,2020Q3,3,gbm_demanda,123.87833074294213,122.60640489191363,5.207301024552223,1.2719258510284988,1.2719258510284988
