metodo,h,MASE,MAE,RMSE,sesgo,n
drift,1,0.2411467833700276,1.5203830388281838,1.9030961626987117,0.0262511736283176,288.0
drift,2,0.35797261111515055,2.2585890505980593,2.69056248685637,0.3506750041474176,270.0
drift,3,0.4646826006881497,2.929044022605191,3.501676954266943,0.7056254108263551,252.0
drift,4,0.5534877886228805,3.4856366423679357,4.285709278140838,1.1278226496218708,234.0
drift,5,0.6578262785025333,4.140405491324523,5.254105788558116,1.8869004973409702,216.0
drift,6,0.7427324756325915,4.68533165091686,5.903588745840068,3.1870238119354117,198.0
drift,7,0.8552131388553155,5.395602381279151,6.585879500750502,4.518500999604198,180.0
drift,8,0.9794287258689238,6.171573855701292,7.306865830968675,5.7224138877247235,162.0
naive,1,0.29526163655611687,1.8714592322578452,2.241998745501803,1.3433061849310124,288.0
naive,2,0.4985754298408545,3.1229800776656917,3.790460745170071,2.9096443464099004,270.0
naive,3,0.7208669493107415,4.517731932455373,5.304892020359264,4.434729781712202,252.0
naive,4,0.9424284215485411,5.914139269055497,6.747508821030974,5.912103387477733,234.0
naive,5,1.213943019064942,7.623108880195684,8.484480542239146,7.611446563154152,216.0
naive,6,1.5369370626038588,9.664251793458254,10.378956373833947,9.664251793458254,198.0
naive,7,1.8450828951259834,11.611732400610789,12.225333590271488,11.611732400610789,180.0
naive,8,2.128683689451204,13.420981410842426,13.939587675535694,13.420981410842426,162.0
snaive,1,0.8424393061595854,5.321661926049785,6.226470141710486,5.319998034596814,288.0
snaive,2,0.8656115170210705,5.4431472733636435,6.353885823379752,5.441372455813808,270.0
snaive,3,0.8996134450223879,5.646221330989126,6.532404325404967,5.644319740757159,252.0
snaive,4,0.9424284215485411,5.914139269055497,6.747508821030974,5.912103387477733,234.0
snaive,5,1.860978383788591,11.685346669145178,12.563064904517153,11.685346669145178,216.0
snaive,6,1.9590280883070719,12.294505638531673,13.02055960317209,12.294505638531673,198.0
snaive,7,2.0454532286378777,12.85161638320965,13.471364275880584,12.85161638320965,180.0
snaive,8,2.128683689451204,13.420981410842426,13.939587675535694,13.420981410842426,162.0
