ccaa,origen,h,metodo,y,yhat,scale,ae,e
Andalucía,2019Q4,1,sarimax,119.43868387223924,119.18823004232787,5.358017583171105,0.2504538299113648,0.2504538299113648
Andalucía,2019Q4,2,sarimax,119.61247150196408,119.7421336468238,5.358017583171105,0.12966214485972216,-0.12966214485972216
Andalucía,2019Q4,3,sarimax,120.81823515974575,120.22074888871637,5.358017583171105,0.597486271029382,0.597486271029382
Andalucía,2019Q4,4,sarimax,120.51724215156251,120.63075195915326,5.358017583171105,0.11350980759074503,-0.11350980759074503
Andalucía,2019Q4,5,sarimax,120.21624914337929,120.97830746592155,5.358017583171105,0.7620583225422592,-0.7620583225422592
Andalucía,2019Q4,6,sarimax,123.87833074294213,121.26909262678153,5.358017583171105,2.609238116160597,2.609238116160597
Andalucía,2019Q4,7,sarimax,128.11910723323825,121.50832361778494,5.358017583171105,6.610783615453315,6.610783615453315
Andalucía,2019Q4,8,sarimax,130.1776844142058,121.70078311497987,5.358017583171105,8.47690129922593,8.47690129922593
Andalucía,2019Q4,1,sarimax_eur,119.43868387223924,119.21625921000552,5.358017583171105,0.22242466223372048,0.22242466223372048
Andalucía,2019Q4,2,sarimax_eur,119.61247150196408,119.84239181059942,5.358017583171105,0.22992030863534296,-0.22992030863534296
Andalucía,2019Q4,3,sarimax_eur,120.81823515974575,120.32634374666928,5.358017583171105,0.4918914130764733,0.4918914130764733
Andalucía,2019Q4,4,sarimax_eur,120.51724215156251,120.75554166084983,5.358017583171105,0.2382995092873159,-0.2382995092873159
Andalucía,2019Q4,5,sarimax_eur,120.21624914337929,121.12191157526732,5.358017583171105,0.9056624318880324,-0.9056624318880324
Andalucía,2019Q4,6,sarimax_eur,123.87833074294213,121.43087041213192,5.358017583171105,2.447460330810202,2.447460330810202
Andalucía,2019Q4,7,sarimax_eur,128.11910723323825,121.68742487200204,5.358017583171105,6.431682361236213,6.431682361236213
Andalucía,2019Q4,8,sarimax_eur,130.1776844142058,121.89619265902445,5.358017583171105,8.28149175518135,8.28149175518135
Andalucía,2019Q4,1,gbm,119.43868387223924,120.05021590136728,5.358017583171105,0.6115320291280426,-0.6115320291280426
Andalucía,2019Q4,2,gbm,119.61247150196408,121.70089850151673,5.358017583171105,2.0884269995526523,-2.0884269995526523
Andalucía,2019Q4,3,gbm,120.81823515974575,124.0171161512436,5.358017583171105,3.1988809914978447,-3.1988809914978447
Andalucía,2019Q4,4,gbm,120.51724215156251,123.38385991883729,5.358017583171105,2.866617767274775,-2.866617767274775
Andalucía,2019Q4,5,gbm,120.21624914337929,123.93771304691244,5.358017583171105,3.7214639035331487,-3.7214639035331487
Andalucía,2019Q4,6,gbm,123.87833074294213,127.50925684072621,5.358017583171105,3.6309260977840836,-3.6309260977840836
Andalucía,2019Q4,7,gbm,128.11910723323825,129.3809693249588,5.358017583171105,1.261862091720559,-1.261862091720559
Andalucía,2019Q4,8,gbm,130.1776844142058,130.34963064884212,5.358017583171105,0.17194623463632297,-0.17194623463632297
Andalucía,2020Q1,1,sarimax,119.61247150196408,120.0708555164934,5.344138823071554,0.4583840145293152,-0.4583840145293152
Andalucía,2020Q1,2,sarimax,120.81823515974575,120.62346475768392,5.344138823071554,0.1947704020618346,0.1947704020618346
Andalucía,2020Q1,3,sarimax,120.51724215156251,121.10333011801545,5.344138823071554,0.5860879664529364,-0.5860879664529364
Andalucía,2020Q1,4,sarimax,120.21624914337929,121.51677614481572,5.344138823071554,1.3005270014364356,-1.3005270014364356
Andalucía,2020Q1,5,sarimax,123.87833074294213,121.86965232030009,5.344138823071554,2.008678422642035,2.008678422642035
Andalucía,2020Q1,6,sarimax,128.11910723323825,122.16735499404703,5.344138823071554,5.951752239191222,5.951752239191222
Andalucía,2020Q1,7,sarimax,130.1776844142058,122.41485127335973,5.344138823071554,7.76283314084607,7.76283314084607
Andalucía,2020Q1,8,sarimax,133.30048687410698,122.61670402157392,5.344138823071554,10.683782852533056,10.683782852533056
Andalucía,2020Q1,1,sarimax_eur,119.61247150196408,120.13218770011983,5.344138823071554,0.5197161981557485,-0.5197161981557485
Andalucía,2020Q1,2,sarimax_eur,120.81823515974575,120.678693850718,5.344138823071554,0.13954130902774864,0.13954130902774864
Andalucía,2020Q1,3,sarimax_eur,120.51724215156251,121.16387979947974,5.344138823071554,0.6466376479172311,-0.6466376479172311
Andalucía,2020Q1,4,sarimax_eur,120.21624914337929,121.58578497849047,5.344138823071554,1.3695358351111793,-1.3695358351111793
Andalucía,2020Q1,5,sarimax_eur,123.87833074294213,121.94695517655782,5.344138823071554,1.931375566384304,1.931375566384304
Andalucía,2020Q1,6,sarimax_eur,128.11910723323825,122.25258347126535,5.344138823071554,5.8665237619729,5.8665237619729
Andalucía,2020Q1,7,sarimax_eur,130.1776844142058,122.50747163957405,5.344138823071554,7.67021277463175,7.67021277463175
Andalucía,2020Q1,8,sarimax_eur,133.30048687410698,122.71605058773176,5.344138823071554,10.584436286375222,10.584436286375222
