adelanto_trimestres,corr
0,0.5289248303179148
1,0.49769911617822654
2,0.47384850403971196
3,0.43209099741551577
4,0.41647762593949306
5,0.37550035202885695
6,0.3508756911439985
7,0.3918175490474305
8,0.43954260566461856
9,0.45755839314408336
10,0.5062934683227612
11,0.5671711732269582
12,0.5636990008515395
