country,iso3,mapping_basis
Syria,SYR,existing_reviewed_alias
São Tomé and Príncipe,STP,exact_normalized_ISO_name
Tajikistan,TJK,exact_normalized_ISO_name
Tanzania,TZA,exact_normalized_ISO_name
Thailand,THA,exact_normalized_ISO_name
The Gambia,GMB,exact_normalized_ISO_name
Togo,TGO,exact_normalized_ISO_name
Tonga,TON,exact_normalized_ISO_name
Trinidad & Tobago,TTO,exact_normalized_ISO_name
Tunisia,TUN,exact_normalized_ISO_name
Turkey,TUR,existing_reviewed_alias
Turkmenistan,TKM,exact_normalized_ISO_name
Tuvalu,TUV,exact_normalized_ISO_name
USSR/Russian Federation,RUS,existing_reviewed_alias
Uganda,UGA,exact_normalized_ISO_name
Ukraine,UKR,exact_normalized_ISO_name
United Kingdom,GBR,exact_normalized_ISO_name
Uruguay,URY,exact_normalized_ISO_name
Uzbekistan,UZB,exact_normalized_ISO_name
Vanuatu,VUT,exact_normalized_ISO_name
Venezuela,VEN,existing_reviewed_alias
Vietnam,VNM,existing_reviewed_alias
West Bank & Gaza,PSE,reviewed_WDI_code_alias
Yemen,YEM,exact_normalized_ISO_name
Yugoslavia,,excluded_dissolved_state
Zambia,ZMB,exact_normalized_ISO_name
Zimbabwe,ZWE,exact_normalized_ISO_name
eSwatini (Swaziland),SWZ,existing_reviewed_alias
