ccaa,anyo,ipv_general,salario_medio_anual,salario_idx,ratio_asequibilidad
Andalucía,2008,134.534,20138.56,94.18891419169236,1.428342190315494
Andalucía,2009,130.163,20906.33,97.7798076145069,1.331184865009784
Andalucía,2010,128.108,20964.36,98.05121642876887,1.3065416694046468
Andalucía,2011,120.476,21350.98,99.85945485320399,1.2064556148148704
Andalucía,2012,106.267,20891.63,97.71105508013413,1.087563734859367
Andalucía,2013,96.923,20782.03,97.19845115038892,0.99716609527077
Andalucía,2014,97.077,20840.3,97.47098245500801,0.9959579513298753
Andalucía,2015,100.0,21381.03,100.0,1.0
Andalucía,2016,102.841,21268.41,99.47327139992788,1.0338556131981655
Andalucía,2017,106.101,21404.28,100.10874125334468,1.0598574976733626
Andalucía,2018,111.371,21805.92,101.98722886596201,1.0920092764396092
Andalucía,2019,117.358,22060.99,103.18020226340828,1.1374081211858578
Andalucía,2020,120.098,22323.85,104.40960982702892,1.1502581055418308
Andalucía,2021,125.598,23154.99,108.29688747455106,1.1597563229092303
Andalucía,2022,136.786,24094.32,112.69017442097038,1.2138236603398642
Andalucía,2023,143.568,25051.51,117.16699335813101,1.2253280201632557
Andalucía,2024,158.471,26089.7,122.02265279081506,1.2987014818606575
Aragón,2008,171.55,21594.47,96.71830477471853,1.773707680253324
Aragón,2009,156.466,22133.77,99.13374640236698,1.5783323608585433
Aragón,2010,147.964,22316.69,99.95301690585197,1.4803355074251603
Aragón,2011,135.826,22333.53,100.02844067186271,1.3578738115649431
Aragón,2012,116.262,22103.79,98.99947060040722,1.1743699162722772
Aragón,2013,101.492,22054.85,98.78027587899591,1.0274520808620327
Aragón,2014,99.157,22095.79,98.96363983270615,1.0019538506023091
Aragón,2015,100.0,22327.18,100.0,1.0
Aragón,2016,101.896,22248.76,99.64876889961025,1.0225515189520675
Aragón,2017,104.788,23039.94,103.19234224832692,1.0154629473167032
Aragón,2018,109.837,23531.83,105.39544178888691,1.0421418434775367
Aragón,2019,116.513,23565.09,105.54440820560411,1.103923949936113
Aragón,2020,119.487,24113.57,108.00096563918954,1.1063512191102354
Aragón,2021,124.019,25011.55,112.02287973671552,1.1070863406786065
Aragón,2022,131.96,26012.71,116.50692116066605,1.1326365737364543
Aragón,2023,137.114,26822.32,120.13303964047408,1.1413512919538653
Aragón,2024,151.038,28061.94,125.68510667267428,1.2017175622355405
"Asturias, Principado de",2008,145.647,21805.67,95.52971472080594,1.5246250910061467
"Asturias, Principado de",2009,144.298,22597.97,99.00074739135883,1.457544551957543
"Asturias, Principado de",2010,142.195,22241.39,97.43858554652006,1.4593294761253681
"Asturias, Principado de",2011,134.027,22286.48,97.63612292265944,1.3727193992142321
"Asturias, Principado de",2012,114.537,21750.66,95.2887182457244,1.2019995872401115
"Asturias, Principado de",2013,100.763,21994.99,96.35911760505317,1.045702809494344
"Asturias, Principado de",2014,98.51,22045.29,96.5794797700523,1.019988927612202
"Asturias, Principado de",2015,100.0,22826.06,100.0,1.0
"Asturias, Principado de",2016,101.418,23095.83,101.18185091951919,1.0023339074975872
"Asturias, Principado de",2017,102.535,23609.67,103.4329621494029,0.9913184140650845
"Asturias, Principado de",2018,106.123,23914.61,104.7688913461193,1.012924720654027
"Asturias, Principado de",2019,110.561,24865.89,108.93640864871115,1.0149132082784893
"Asturias, Principado de",2020,114.072,24527.96,107.45595166226671,1.06156986407349
"Asturias, Principado de",2021,118.807,25046.6,109.72809148841279,1.082740056702307
"Asturias, Principado de",2022,126.182,26745.93,117.17278408976406,1.0768882977410021
"Asturias, Principado de",2023,130.901,27916.6,122.3014396702716,1.0703144652500665
"Asturias, Principado de",2024,141.097,28562.31,125.13026777288765,1.127600879557711
"Balears, Illes",2008,137.526,20388.09,95.29184283365319,1.443208525624519
"Balears, Illes",2009,126.278,21070.14,98.4796746219518,1.2822747484164796
"Balears, Illes",2010,123.729,21613.6,101.01975095604574,1.2248000893789095
"Balears, Illes",2011,116.98,21351.0,99.79238547315268,1.1722337275069081
"Balears, Illes",2012,100.789,20960.53,97.96736871723014,1.028801746129511
"Balears, Illes",2013,93.581,20776.29,97.10624984225598,0.9636969829647158
"Balears, Illes",2014,93.987,21322.08,99.65721635751952,0.9431028021375024
"Balears, Illes",2015,100.0,21395.42,100.0,1.0
"Balears, Illes",2016,106.176,21478.34,100.38755958050835,1.0576609337220662
"Balears, Illes",2017,114.627,22036.46,102.99615525191841,1.1129250380233484
"Balears, Illes",2018,123.185,22800.87,106.56892923812666,1.155918529731541
"Balears, Illes",2019,130.597,23325.33,109.02020151976453,1.1979155989390073
"Balears, Illes",2020,135.899,23881.42,111.61930917925424,1.217522317592505
"Balears, Illes",2021,143.803,24134.73,112.80325415439381,1.274812513858659
"Balears, Illes",2022,157.034,27145.79,126.8766399537845,1.2376904058714076
"Balears, Illes",2023,163.443,27537.0,128.70511539385535,1.269902905567055
"Balears, Illes",2024,174.244,29075.06,135.8938501791505,1.2822066618194425
Canarias,2008,139.782,18466.99,93.00172587365114,1.5030043656383636
Canarias,2009,134.441,18926.36,95.31516205434866,1.4104891299806195
Canarias,2010,131.108,19315.56,97.27521465144353,1.3478047873734957
Canarias,2011,123.61,19516.96,98.2894864732701,1.2576116168194227
Canarias,2012,107.173,19277.62,97.08414477597131,1.103918670214477
Canarias,2013,97.953,19167.93,96.53173426884045,1.014723300497237
Canarias,2014,96.711,19436.48,97.88418063304863,0.9880146043470835
Canarias,2015,100.0,19856.61,100.0,1.0
Canarias,2016,103.344,19749.03,99.45821567729838,1.0390695157382412
Canarias,2017,107.888,20185.33,101.65546888416503,1.0613103375966604
Canarias,2018,113.276,20763.48,104.56709377884744,1.0832853425148385
Canarias,2019,117.587,20861.14,105.05891992641241,1.1192481331653017
Canarias,2020,118.96,21631.17,108.9368729103306,1.092008580950545
Canarias,2021,125.792,22466.23,113.1423238911375,1.1118032198192578
Canarias,2022,137.24,23096.92,116.31854581421501,1.17986344343748
Canarias,2023,144.51,24033.57,121.03561484059968,1.1939460975210923
Canarias,2024,156.095,25120.38,126.50890559868981,1.2338657050371054
Cantabria,2008,153.98,20377.68,93.23263550353414,1.6515675993538026
Cantabria,2009,143.507,20869.86,95.48447371780236,1.5029354450245476
