ccaa,anyo,salario_medio_anual
Comunitat Valenciana,2015,20935.41
Comunitat Valenciana,2014,20639.58
Comunitat Valenciana,2013,20878.02
Comunitat Valenciana,2012,21223.72
Comunitat Valenciana,2011,21316.34
Comunitat Valenciana,2010,20707.24
Comunitat Valenciana,2009,20489.79
Comunitat Valenciana,2008,19793.62
Extremadura,2024,24979.44
Extremadura,2023,23684.22
Extremadura,2022,21922.73
Extremadura,2021,21393.01
Extremadura,2020,20479.3
Extremadura,2019,19940.68
Extremadura,2018,19947.8
Extremadura,2017,19672.4
Extremadura,2016,19475.2
Extremadura,2015,19564.49
Extremadura,2014,19180.57
Extremadura,2013,19129.72
Extremadura,2012,19721.35
Extremadura,2011,19879.46
Extremadura,2010,19480.55
Extremadura,2009,19099.56
Extremadura,2008,18264.9
Galicia,2024,26547.27
Galicia,2023,25279.15
Galicia,2022,24169.68
Galicia,2021,23305.86
Galicia,2020,22834.66
Galicia,2019,22177.4
Galicia,2018,22244.59
Galicia,2017,21605.88
Galicia,2016,21082.12
Galicia,2015,20624.55
Galicia,2014,20195.89
Galicia,2013,19824.66
Galicia,2012,19389.2
Galicia,2011,19970.29
Galicia,2010,20241.99
Galicia,2009,19806.66
Galicia,2008,19156.41
"Madrid, Comunidad de",2024,34410.01
"Madrid, Comunidad de",2023,32219.6
"Madrid, Comunidad de",2022,31230.73
"Madrid, Comunidad de",2021,29512.58
"Madrid, Comunidad de",2020,28829.06
"Madrid, Comunidad de",2019,27817.76
"Madrid, Comunidad de",2018,27010.93
"Madrid, Comunidad de",2017,27089.12
"Madrid, Comunidad de",2016,26330.14
"Madrid, Comunidad de",2015,26448.04
"Madrid, Comunidad de",2014,26570.35
"Madrid, Comunidad de",2013,26215.36
"Madrid, Comunidad de",2012,26044.39
"Madrid, Comunidad de",2011,25845.2
"Madrid, Comunidad de",2010,25988.95
"Madrid, Comunidad de",2009,25860.65
"Madrid, Comunidad de",2008,25269.61
"Murcia, Región de",2024,26349.36
"Murcia, Región de",2023,25329.87
"Murcia, Región de",2022,23851.69
"Murcia, Región de",2021,23281.39
"Murcia, Región de",2020,22919.62
"Murcia, Región de",2019,22123.99
"Murcia, Región de",2018,21510.59
"Murcia, Región de",2017,21309.22
"Murcia, Región de",2016,21242.5
"Murcia, Región de",2015,20928.98
"Murcia, Región de",2014,20717.07
"Murcia, Región de",2013,20449.83
"Murcia, Región de",2012,20682.01
"Murcia, Región de",2011,21077.49
"Murcia, Región de",2010,20863.37
"Murcia, Región de",2009,20430.4
"Murcia, Región de",2008,18911.75
"Navarra, Comunidad Foral de",2024,32605.28
"Navarra, Comunidad Foral de",2023,31199.66
"Navarra, Comunidad Foral de",2022,29189.52
"Navarra, Comunidad Foral de",2021,28459.37
"Navarra, Comunidad Foral de",2020,27995.96
"Navarra, Comunidad Foral de",2019,27493.93
"Navarra, Comunidad Foral de",2018,26364.75
"Navarra, Comunidad Foral de",2017,26329.79
"Navarra, Comunidad Foral de",2016,25468.38
"Navarra, Comunidad Foral de",2015,24863.98
"Navarra, Comunidad Foral de",2014,24700.78
"Navarra, Comunidad Foral de",2013,23836.93
"Navarra, Comunidad Foral de",2012,23784.38
"Navarra, Comunidad Foral de",2011,24384.92
"Navarra, Comunidad Foral de",2010,23824.88
"Navarra, Comunidad Foral de",2009,23657.71
"Navarra, Comunidad Foral de",2008,23342.74
País Vasco,2024,35170.28
País Vasco,2023,33504.92
País Vasco,2022,32313.73
País Vasco,2021,31063.68
País Vasco,2020,30224.16
País Vasco,2019,29476.21
País Vasco,2018,28470.94
País Vasco,2017,28204.49
País Vasco,2016,27480.71
País Vasco,2015,27571.31
País Vasco,2014,27786.57
País Vasco,2013,26915.07
País Vasco,2012,26535.61
País Vasco,2011,26370.36
País Vasco,2010,26593.7
País Vasco,2009,26162.45
País Vasco,2008,25547.13
"Rioja, La",2024,27855.4
"Rioja, La",2023,26319.06
"Rioja, La",2022,24903.38
"Rioja, La",2021,23716.88
"Rioja, La",2020,23292.63
"Rioja, La",2019,22877.13
"Rioja, La",2018,22641.17
"Rioja, La",2017,22234.21
"Rioja, La",2016,21999.02
"Rioja, La",2015,21756.79
"Rioja, La",2014,21954.1
"Rioja, La",2013,20628.81
"Rioja, La",2012,20346.24
"Rioja, La",2011,20996.76
"Rioja, La",2010,21035.86
"Rioja, La",2009,21179.93
"Rioja, La",2008,20674.16
