ccaa,anyo,ipc_media_anual
Castilla - La Mancha,2006,18.304895833333333
Castilla - La Mancha,2007,18.714583333333334
Castilla - La Mancha,2008,19.494395833333332
Castilla - La Mancha,2009,17.578416666666666
Castilla - La Mancha,2010,19.207895833333335
Castilla - La Mancha,2011,20.214208333333332
Castilla - La Mancha,2012,20.359458333333333
Castilla - La Mancha,2013,19.864166666666666
Castilla - La Mancha,2014,19.1120625
Castilla - La Mancha,2015,19.043604166666665
Castilla - La Mancha,2016,19.255645833333332
Castilla - La Mancha,2017,20.122062500000002
Castilla - La Mancha,2018,20.705229166666665
Castilla - La Mancha,2019,20.416375
Castilla - La Mancha,2020,19.5743125
Castilla - La Mancha,2021,22.916749999999997
Castilla - La Mancha,2022,27.082291666666666
Castilla - La Mancha,2023,25.314708333333332
Castilla - La Mancha,2024,25.575374999999998
Castilla - La Mancha,2025,25.995729166666667
Castilla - La Mancha,2026,26.818749999999998
Castilla y León,2001,15.146
Castilla y León,2002,16.299458333333334
Castilla y León,2003,16.228479166666666
Castilla y León,2004,16.953333333333333
Castilla y León,2005,17.702749999999998
Castilla y León,2006,18.171333333333333
Castilla y León,2007,18.65277083333333
Castilla y León,2008,19.3826875
Castilla y León,2009,17.725645833333335
Castilla y León,2010,19.130145833333334
Castilla y León,2011,20.09475
Castilla y León,2012,20.5526875
Castilla y León,2013,19.99927083333333
Castilla y León,2014,19.2831875
Castilla y León,2015,19.121708333333334
Castilla y León,2016,19.403395833333335
Castilla y León,2017,20.284916666666664
Castilla y León,2018,20.808062500000002
Castilla y León,2019,20.656333333333333
Castilla y León,2020,19.8030625
Castilla y León,2021,22.920833333333334
Castilla y León,2022,26.77054166666667
Castilla y León,2023,25.13627083333333
Castilla y León,2024,25.499979166666666
Castilla y León,2025,26.089020833333333
Castilla y León,2026,26.75375
Cataluña,2001,14.91775
Cataluña,2002,16.073104166666667
Cataluña,2003,16.253354166666668
Cataluña,2004,16.940645833333335
Cataluña,2005,17.774479166666666
Cataluña,2006,18.008875
Cataluña,2007,18.536270833333333
Cataluña,2008,19.220583333333334
Cataluña,2009,18.0136875
Cataluña,2010,19.164041666666666
Cataluña,2011,20.0066875
Cataluña,2012,20.631416666666667
Cataluña,2013,20.031333333333333
Cataluña,2014,19.621208333333332
Cataluña,2015,19.714229166666666
Cataluña,2016,19.925083333333333
Cataluña,2017,20.728208333333335
Cataluña,2018,21.217208333333335
Cataluña,2019,21.031520833333335
Cataluña,2020,20.265520833333333
Cataluña,2021,22.896479166666666
Cataluña,2022,26.182145833333333
Cataluña,2023,25.253
Cataluña,2024,25.723958333333332
Cataluña,2025,26.029854166666667
Cataluña,2026,26.587833333333336
Ceuta,2001,15.999749999999999
Ceuta,2002,17.21889583333333
Ceuta,2003,17.653541666666666
Ceuta,2004,18.145895833333334
Ceuta,2005,18.4025625
Ceuta,2006,19.027895833333332
Ceuta,2007,19.0271875
Ceuta,2008,20.2050625
