ccaa,anyo,quarter,,Comunida,ipv,Illes,La,Principad,Regió,Valenciana,Vasco,Viviend,ipc,salario_anual,salario_flag,ipv_b,sal_b,ipv_idx15,salario_idx15,ratio_asequibilidad
Andalucía,2007,1,,,70.93,,,,,,,66.157,68.94566666666667,,faltante,55.81525,19741.364999999998,127.07996470498655,,
Andalucía,2007,2,,,73.062,,,,,,,68.166,70.50166666666667,,faltante,55.81525,19741.364999999998,130.89970930883587,,
Andalucía,2007,3,,,74.761,,,,,,,69.6225,70.164,,faltante,55.81525,19741.364999999998,133.9436802665938,,
Andalucía,2007,4,,,75.789,,,,,,,70.28999999999999,71.79233333333333,,faltante,55.81525,19741.364999999998,135.7854708166675,,
Andalucía,2008,1,,,75.77,,,,,,,70.2375,71.958,18755.255,observado,55.81525,19741.364999999998,135.751429940742,95.0048540209859,1.4288894113847643
Andalucía,2008,2,,,75.45,,,,,,,69.7675,73.76533333333333,18755.255,observado,55.81525,19741.364999999998,135.17810992515487,95.0048540209859,1.4228547721919027
Andalucía,2008,3,,,75.552,,,,,,,69.5455,73.527,18755.255,observado,55.81525,19741.364999999998,135.36085568012328,95.0048540209859,1.4247783134346275
Andalucía,2008,4,,,73.59,,,,,,,67.5375,73.43466666666667,18755.255,observado,55.81525,19741.364999999998,131.84568733455464,95.0048540209859,1.3877784318833948
Andalucía,2009,1,,,72.839,,,,,,,66.555,72.15266666666668,19386.205,observado,55.81525,19741.364999999998,130.50017692297357,98.20093494041573,1.328909719669733
Andalucía,2009,2,,,72.939,,,,,,,66.84299999999999,73.08033333333333,19386.205,observado,55.81525,19741.364999999998,130.67933942784452,98.20093494041573,1.3307341677259523
Andalucía,2009,3,,,72.52,,,,,,,66.44749999999999,72.66566666666667,19386.205,observado,55.81525,19741.364999999998,129.92864853243512,98.20093494041573,1.3230897303703926
Andalucía,2009,4,,,72.304,,,,,,,66.3595,73.42933333333333,19386.205,observado,55.81525,19741.364999999998,129.54165752191383,98.20093494041573,1.3191489225689588
Andalucía,2010,1,,,71.644,,,,,,,65.72200000000001,72.82866666666668,19265.085,observado,55.81525,19741.364999999998,128.35918498976534,97.58740087121636,1.3153253785205092
Andalucía,2010,2,,,72.612,,,,,,,66.45,74.196,19265.085,observado,55.81525,19741.364999999998,130.09347803691642,97.58740087121636,1.3330970686328403
Andalucía,2010,3,,,70.951,,,,,,,65.0515,74.08533333333334,19265.085,observado,55.81525,19741.364999999998,127.11758883100943,97.58740087121636,1.302602464008272
Andalucía,2010,4,,,70.808,,,,,,,65.035,75.43533333333333,19265.085,observado,55.81525,19741.364999999998,126.86138644904396,97.58740087121636,1.2999771006962235
Andalucía,2011,1,,,68.585,,,,,,,62.643,75.48566666666666,19772.27,observado,55.81525,19741.364999999998,122.87860396576204,100.15654945845944,1.2268653885358412
Andalucía,2011,2,,,68.561,,,,,,,62.6565,76.891,19772.27,observado,55.81525,19741.364999999998,122.83560496459303,100.15654945845944,1.226436070619025
