iso3,y,rev,gdp_pc,urban,log_gdp,grupo,residual,semiancho_90,destacado,outcome,fecha_ejecucion
MYS,21.2,18.711,26791.271,72.869,10.196,Q4,13.202,8.248,True,stunting,2026-07-19
NER,47.7,16.024,1448.239,16.332,7.278,Q1,13.313,13.313,False,stunting,2026-07-19
NGA,33.8,7.474,8448.246,54.92,9.042,Q2,14.75,15.465,False,stunting,2026-07-19
NPL,24.8,18.167,3617.65,64.348,8.194,Q1,-0.878,13.313,False,stunting,2026-07-19
NRU,15.7,87.088,9909.498,100.0,9.201,Q2,5.003,15.465,False,stunting,2026-07-19
OMN,11.4,35.501,41347.774,76.958,10.63,Q4,8.248,8.248,False,stunting,2026-07-19
PAK,37.6,12.922,4612.53,35.709,8.437,Q2,13.144,15.465,False,stunting,2026-07-19
PAN,15.9,20.283,28565.817,65.431,10.26,Q4,8.246,8.248,False,stunting,2026-07-19
PER,11.5,20.538,14041.855,80.04,9.55,Q3,-2.057,8.977,False,stunting,2026-07-19
PHL,26.7,17.978,7459.98,49.819,8.917,Q2,6.907,15.465,False,stunting,2026-07-19
POL,1.0,39.231,31035.655,60.44,10.343,Q4,-5.164,8.248,False,stunting,2026-07-19
PRT,3.2,42.973,36321.179,61.13,10.5,Q4,-1.245,8.248,False,stunting,2026-07-19
PRY,5.6,13.655,14083.83,61.152,9.553,Q3,-8.988,8.977,True,stunting,2026-07-19
QAT,6.2,38.893,129751.73,98.85,11.773,Q4,14.284,8.248,True,stunting,2026-07-19
RWA,33.1,22.164,2206.726,18.276,7.699,Q1,2.357,13.313,False,stunting,2026-07-19
SAU,10.8,32.646,58334.27,82.779,10.974,Q4,10.703,8.248,True,stunting,2026-07-19
SEN,17.5,18.91,3579.398,45.894,8.183,Q1,-8.824,13.313,False,stunting,2026-07-19
SLB,31.7,37.475,2719.568,23.005,7.908,Q1,3.955,13.313,False,stunting,2026-07-19
SLE,26.3,9.94,2740.191,40.364,7.916,Q1,-2.974,13.313,False,stunting,2026-07-19
SLV,10.0,24.598,9490.06,68.771,9.158,Q2,-6.983,15.465,False,stunting,2026-07-19
SRB,5.4,37.89,18548.653,59.957,9.828,Q3,-5.185,8.977,False,stunting,2026-07-19
STP,11.7,34.169,5196.436,67.173,8.556,Q2,-9.991,15.465,False,stunting,2026-07-19
SUR,8.3,20.374,23346.802,66.234,10.058,Q4,-1.261,8.248,False,stunting,2026-07-19
SWZ,20.0,27.206,9011.749,23.102,9.106,Q2,1.735,15.465,False,stunting,2026-07-19
TCD,31.9,13.511,2724.817,22.662,7.91,Q1,2.488,13.313,False,stunting,2026-07-19
TGO,23.8,15.312,2490.279,39.284,7.82,Q1,-6.026,13.313,False,stunting,2026-07-19
THA,12.4,21.24,18567.637,47.219,9.829,Q4,0.474,8.248,False,stunting,2026-07-19
TJK,13.7,27.167,2944.127,26.425,7.988,Q1,-14.435,13.313,True,stunting,2026-07-19
TKM,7.2,16.806,12003.971,46.989,9.393,Q3,-8.907,8.977,False,stunting,2026-07-19
TLS,46.7,76.521,4309.188,29.508,8.369,Q2,29.157,15.465,True,stunting,2026-07-19
TON,2.2,34.883,6208.97,23.239,8.734,Q2,-19.626,15.465,True,stunting,2026-07-19
TUN,8.4,23.487,12677.85,67.643,9.448,Q3,-6.182,8.977,False,stunting,2026-07-19
TUR,6.0,31.764,24736.799,80.863,10.116,Q4,-1.936,8.248,False,stunting,2026-07-19
TUV,5.7,108.319,4135.932,58.092,8.327,Q2,-17.073,15.465,True,stunting,2026-07-19
TZA,30.0,14.102,3027.344,30.595,8.015,Q1,1.707,13.313,False,stunting,2026-07-19
UGA,24.4,10.839,2461.948,23.486,7.809,Q1,-6.269,13.313,False,stunting,2026-07-19
URY,6.9,29.028,28086.832,94.926,10.243,Q4,0.289,8.248,False,stunting,2026-07-19
USA,3.8,30.398,63274.707,80.568,11.055,Q4,3.967,8.248,False,stunting,2026-07-19
UZB,6.5,25.223,7321.078,50.955,8.899,Q2,-13.123,15.465,False,stunting,2026-07-19
VNM,18.2,19.257,8911.329,32.01,9.095,Q2,-0.551,15.465,False,stunting,2026-07-19
WSM,7.3,27.562,6546.394,19.297,8.787,Q2,-14.516,15.465,False,stunting,2026-07-19
ZAF,21.3,26.366,14517.508,63.091,9.583,Q3,8.108,8.977,False,stunting,2026-07-19
ZMB,34.6,18.056,3514.674,41.552,8.165,Q1,8.232,13.313,False,stunting,2026-07-19
ZWE,25.9,12.994,4909.308,33.566,8.499,Q2,1.733,15.465,False,stunting,2026-07-19
