iso3,precio_renta_2015_100,artificial_2022_km2,artificial_2000_2022_pct,real_desde_2000_pct,real_desde_2015_pct,lucas_artificial_pct
LCA,,11.14,47.62,,,
LIE,,11.28,416.54,,,
LKA,,1177.45,63.69,,,
LSO,,138.08,218.13,,,
LTU,115.56,808.77,69.92,371.78,67.61,2.2
LUX,120.47,160.67,66.4,,30.31,9.2
LVA,112.06,376.98,50.91,,47.56,1.9
MAC,,5.75,16.92,,-16.59,
MAR,,2322.02,83.34,,-16.59,
MCO,,1.48,2.86,,,
MDA,,2138.08,72.67,,,
MDG,,514.62,48.94,,,
MDV,,0.0,,,,
MEX,,17763.89,93.24,,,
MHL,,0.0,,,,
MKD,,353.59,54.04,61.09,45.12,
MLI,,690.75,258.32,,,
MLT,,78.48,33.9,,,
MMR,,1472.0,121.9,,,
MNG,,840.74,65.85,,,
MNP,,0.17,0.0,,,
MOZ,,1163.99,205.28,,,
MRT,,409.0,50.95,,,
MSR,,0.09,inf,,,
MUS,,139.83,68.56,,,
MWI,,533.51,205.51,,,
MYS,,4481.87,131.61,94.14,18.59,
NAM,,1068.11,59.4,,,
NCL,,49.37,178.94,,,
NER,,292.82,188.69,,,
NFK,,0.0,,,,
NGA,,9981.55,250.51,,,
NIC,,302.89,50.87,,,
NIU,,0.61,0.0,,,
NLD,135.52,4090.81,64.96,51.3,61.4,13.0
NOR,105.91,3549.65,45.36,108.97,11.47,
NPL,,457.06,186.79,,,
NRU,,0.0,,,,
NZL,101.33,2793.0,10.98,157.18,23.97,
OECD,114.79,,,,,
OMN,,695.0,140.66,,,
PAK,,5548.75,757.58,,,
PAN,,423.32,111.24,,,
PCN,,0.0,,,,
PER,,3138.88,57.9,37.54,-20.2,
PHL,,2617.01,123.33,,30.32,
PLW,,0.53,0.0,,39.64,3.9
PNG,,300.69,22.31,,,
POL,97.16,7919.76,77.23,,,
PRI,,1222.31,38.76,,,
PRK,,1207.9,67.46,,,
PRT,178.78,2859.61,103.37,63.15,125.46,6.3
PRY,,791.8,89.05,,,
PSE,,515.24,260.08,,,
PYF,,13.54,167.16,,,
QAT,,646.24,67.07,,,
ROU,51.74,8844.64,91.92,,-2.23,2.8
RUS,100.67,37584.49,70.09,,28.28,
RWA,,225.87,690.33,,,
SAU,,5056.54,127.86,,,
SDR,,851133.13,101.72,,,
SEN,,709.26,130.1,134.17,0.37,1.9
SGP,,302.78,156.62,39.04,26.34,
SGS,,0.0,,39.04,26.34,
SHN,,20.32,20.11,,,
SJM,,0.0,,,,
SLB,,9.43,37.32,,,
SLE,,384.39,189.63,,,
SLV,,339.5,41.9,,,
SMR,,7.45,47.43,,,
SOM,,662.02,57.76,,,
SPM,,1.64,170.64,,,
SRB,,1440.23,85.15,,,
STP,,16.01,32.06,,,
SUR,,164.5,58.43,,,
SVK,119.65,2001.66,47.07,,,
SVN,121.16,417.24,65.58,,,
SWE,92.54,2153.7,55.56,,,
SWZ,,50.93,92.92,,,
SYC,,1.5,5.88,,,
SYR,,1859.59,74.09,,,
TCA,,4.79,328.51,,,
TCD,,398.78,83.21,,,
TGO,,537.68,228.02,,,
THA,,5067.58,268.11,53.95,22.38,
TJK,,846.89,587.24,,,
TKL,,0.01,0.0,,,
TKM,,1151.72,896.49,,,
TLS,,93.28,61.17,,,
TON,,0.67,0.0,,,
TTO,,241.99,229.12,,,
TUN,,1397.8,67.51,,,
TUR,,9587.4,96.64,,,
TUV,,0.0,,,,
