iso3,medida,anyo,quarter,valor
BEL,RHP,2003,2,74.3687622532701
BEL,RHP,2003,3,75.4766908539344
BEL,RHP,2003,4,77.0638336115402
BEL,RHP,2004,1,78.0265347234061
BEL,RHP,2004,2,78.1152712445596
BEL,RHP,2004,3,80.1342030304481
BEL,RHP,2004,4,82.0673452425404
BEL,RHP,2005,1,84.5955217266198
BEL,RHP,2005,2,85.4098166810688
BEL,RHP,2005,3,86.7140998608598
BEL,RHP,2005,4,88.9044495641184
BEL,RHP,2006,1,90.5526152316782
BEL,RHP,2006,2,91.7876586224768
BEL,RHP,2006,3,92.9738840081205
BEL,RHP,2006,4,94.0355655227395
BEL,RHP,2007,1,95.7456750573797
BEL,RHP,2007,2,96.8364537183557
BEL,RHP,2007,3,97.4275235016679
BEL,RHP,2007,4,97.6267640572177
BEL,RHP,2008,1,97.8464545437467
BEL,RHP,2008,2,97.7700028332592
BEL,RHP,2008,3,97.7899574548927
BEL,RHP,2008,4,98.6609149665833
BEL,RHP,2009,1,98.1569905808482
BEL,RHP,2009,2,97.367599527401
BEL,RHP,2009,3,98.7565035175377
BEL,RHP,2009,4,98.5190825111974
BEL,RHP,2010,1,98.2003358970584
BEL,RHP,2010,2,98.141703917243
BEL,RHP,2010,3,99.0413906899185
BEL,RHP,2010,4,99.3208886584553
BEL,RHP,2011,1,99.3518232386027
BEL,RHP,2011,2,99.1830293734575
BEL,RHP,2011,3,99.7676585193051
BEL,RHP,2011,4,99.9344572432012
BEL,RHP,2012,1,99.7728123506807
BEL,RHP,2012,2,99.8091774379519
BEL,RHP,2012,3,99.4511300322735
BEL,RHP,2012,4,99.5655846510918
BEL,RHP,2013,1,100.317519600591
BEL,RHP,2013,2,100.414726464832
BEL,RHP,2013,3,100.054281606563
BEL,RHP,2013,4,99.6827823277916
BEL,RHP,2014,1,98.6609779741098
BEL,RHP,2014,2,98.6592220722435
BEL,RHP,2014,3,98.7432801759532
BEL,RHP,2014,4,99.8972939615334
BEL,RHP,2015,1,99.247666782094
BEL,RHP,2015,2,99.5815983785202
BEL,RHP,2015,3,100.384348650458
BEL,RHP,2015,4,100.786386188928
BEL,RHP,2016,1,100.292298007535
BEL,RHP,2016,2,100.31296856008
BEL,RHP,2016,3,100.84282032092
BEL,RHP,2016,4,101.878614029897
BEL,RHP,2017,1,101.882877347873
BEL,RHP,2017,2,101.521766199398
BEL,RHP,2017,3,102.921474293769
BEL,RHP,2017,4,102.969416350783
BEL,RHP,2018,1,103.153287507488
BEL,RHP,2018,2,103.571672336505
BEL,RHP,2018,3,103.283238934436
BEL,RHP,2018,4,103.123217544815
BEL,RHP,2019,1,104.334003396007
BEL,RHP,2019,2,104.671133209911
BEL,RHP,2019,3,106.482466846582
BEL,RHP,2019,4,106.916916053369
BEL,RHP,2020,1,106.977434876131
BEL,RHP,2020,2,108.336204638457
BEL,RHP,2020,3,108.915328797119
BEL,RHP,2020,4,112.294361213547
BEL,RHP,2021,1,112.779189506374
BEL,RHP,2021,2,114.120058427422
BEL,RHP,2021,3,114.160555808905
BEL,RHP,2021,4,112.724316242298
BEL,RHP,2022,1,110.251989159711
BEL,RHP,2022,2,110.057687691697
BEL,RHP,2022,3,108.102358882973
BEL,RHP,2022,4,104.662466963387
BEL,RHP,2023,1,104.382522529584
BEL,RHP,2023,2,104.124562812038
BEL,RHP,2023,3,103.280584880959
BEL,RHP,2023,4,104.910660908361
BEL,RHP,2024,1,105.309422988019
BEL,RHP,2024,2,105.868891693122
BEL,RHP,2024,3,105.570430819917
BEL,RHP,2024,4,106.084995950615
BEL,RHP,2025,1,105.073010386568
BEL,RHP,2025,2,106.611628147094
BEL,RHP,2025,3,107.398558737685
BEL,RHP,2025,4,107.440426972966
BEL,RHP,2026,1,105.699163826253
FIN,RHP,1970,1,57.6957609306494
FIN,RHP,1970,2,58.7788227993234
FIN,RHP,1970,3,58.8598628948073
FIN,RHP,1970,4,59.073101568035
FIN,RHP,1971,1,56.7038542010055
FIN,RHP,1971,2,58.9593919739899
FIN,RHP,1971,3,56.5689699737874
FIN,RHP,1971,4,56.3979559365503
FIN,RHP,1972,1,56.6867477732203
FIN,RHP,1972,2,56.6644115220391
FIN,RHP,1972,3,57.8578100040404
FIN,RHP,1972,4,59.2731291887132
FIN,RHP,1973,1,61.1313057987326
FIN,RHP,1973,2,63.1828712542884
FIN,RHP,1973,3,66.6056458109724
FIN,RHP,1973,4,68.3021661940098
FIN,RHP,1974,1,66.7315245385142
FIN,RHP,1974,2,66.3290970375025
FIN,RHP,1974,3,64.9625289962388
FIN,RHP,1974,4,63.3651991299701
FIN,RHP,1975,1,58.6907735283585
FIN,RHP,1975,2,57.9853131395775
FIN,RHP,1975,3,57.7841733820831
FIN,RHP,1975,4,60.0980373503107
FIN,RHP,1976,1,56.0195908733808
FIN,RHP,1976,2,55.9152238665857
FIN,RHP,1976,3,54.8058797726556
FIN,RHP,1976,4,53.9393663187505
FIN,RHP,1977,1,52.7879069896638
FIN,RHP,1977,2,51.5565578154158
FIN,RHP,1977,3,50.3520373052852
FIN,RHP,1977,4,49.7645038697715
FIN,RHP,1978,1,49.2517842950074
FIN,RHP,1978,2,49.1273513176858
FIN,RHP,1978,3,48.1767830443835
FIN,RHP,1978,4,48.7881843877937
FIN,RHP,1979,1,47.7503834125541
FIN,RHP,1979,2,47.8295894081726
FIN,RHP,1979,3,48.1742514894104
FIN,RHP,1979,4,48.6227837003242
FIN,RHP,1980,1,48.4850563992444
FIN,RHP,1980,2,49.1228098650142
FIN,RHP,1980,3,50.3235946527249
FIN,RHP,1980,4,49.3704716434954
FIN,RHP,1981,1,50.0582627078262
FIN,RHP,1981,2,50.3124633495344
FIN,RHP,1981,3,51.2096674705661
FIN,RHP,1981,4,52.0146867933926
FIN,RHP,1982,1,53.4009046624126
FIN,RHP,1982,2,54.2755658011411
FIN,RHP,1982,3,55.4564109153398
FIN,RHP,1982,4,57.4998974322526
FIN,RHP,1983,1,59.1199127730671
FIN,RHP,1983,2,60.4078663442156
FIN,RHP,1983,3,62.1416358281634
FIN,RHP,1983,4,63.4069674497756
FIN,RHP,1984,1,63.4724591296207
FIN,RHP,1984,2,64.0746639532674
FIN,RHP,1984,3,65.2040298064558
FIN,RHP,1984,4,63.9809434497429
FIN,RHP,1985,1,64.1691804317277
FIN,RHP,1985,2,63.3709574959679
FIN,RHP,1985,3,63.1891305380291
FIN,RHP,1985,4,63.1076598607682
FIN,RHP,1986,1,63.6971261211812
FIN,RHP,1986,2,62.3185677800614
FIN,RHP,1986,3,62.8565240358303
FIN,RHP,1986,4,63.7005426410467
FIN,RHP,1987,1,63.642558559501
FIN,RHP,1987,2,66.2847987379557
FIN,RHP,1987,3,68.4578158548829
FIN,RHP,1987,4,71.1038389301962
FIN,RHP,1988,1,76.3411887539341
FIN,RHP,1988,2,82.2640006188697
FIN,RHP,1988,3,88.423560612887
FIN,RHP,1988,4,97.2324730742034
FIN,RHP,1989,1,102.458711281887
FIN,RHP,1989,2,103.426880029324
FIN,RHP,1989,3,102.994007175624
FIN,RHP,1989,4,99.8859712252445
FIN,RHP,1990,1,94.7239578178567
FIN,RHP,1990,2,93.5975101405943
FIN,RHP,1990,3,93.2386721679004
FIN,RHP,1990,4,89.1909060351789
FIN,RHP,1991,1,82.0516583978233
FIN,RHP,1991,2,80.4091309625049
FIN,RHP,1991,3,76.937915663442
FIN,RHP,1991,4,72.6827947256179
FIN,RHP,1992,1,70.2304610647992
FIN,RHP,1992,2,66.9522550148437
FIN,RHP,1992,3,62.1784788624546
FIN,RHP,1992,4,58.6226011200827
FIN,RHP,1993,1,55.6686576016795
FIN,RHP,1993,2,54.668745509972
FIN,RHP,1993,3,55.5376341222207
FIN,RHP,1993,4,57.7644129854997
FIN,RHP,1994,1,58.0003199658859
FIN,RHP,1994,2,58.3587574655694
FIN,RHP,1994,3,57.8162964722255
FIN,RHP,1994,4,57.0390835621268
FIN,RHP,1995,1,57.2354417260421
FIN,RHP,1995,2,56.742757881309
FIN,RHP,1995,3,56.1773197568336
FIN,RHP,1995,4,56.0206622385626
FIN,RHP,1996,1,56.5749597254125
FIN,RHP,1996,2,58.2568146527667
FIN,RHP,1996,3,60.2386080459075
FIN,RHP,1996,4,62.197436864114
FIN,RHP,1997,1,65.504669003539
FIN,RHP,1997,2,66.8693871846803
FIN,RHP,1997,3,67.9218358161625
FIN,RHP,1997,4,69.1861796640298
FIN,RHP,1998,1,70.4849793445942
FIN,RHP,1998,2,71.4399163865209
FIN,RHP,1998,3,72.8224819483252
FIN,RHP,1998,4,73.8282411278818
FIN,RHP,1999,1,74.3888237879018
FIN,RHP,1999,2,74.9546318950605
FIN,RHP,1999,3,77.1247184685919
FIN,RHP,1999,4,78.0617670354771
FIN,RHP,2000,1,78.1676792906515
FIN,RHP,2000,2,78.1753815322635
FIN,RHP,2000,3,76.1139240847177
FIN,RHP,2000,4,74.6872370143371
FIN,RHP,2001,1,74.3877814376757
FIN,RHP,2001,2,73.4660084536505
FIN,RHP,2001,3,73.1878847806386
FIN,RHP,2001,4,73.7586508093794
FIN,RHP,2002,1,75.0477265981228
FIN,RHP,2002,2,76.2414387859227
FIN,RHP,2002,3,77.3124142466381
FIN,RHP,2002,4,78.8313007386089
FIN,RHP,2003,1,78.9946034952156
FIN,RHP,2003,2,79.7135992433756
FIN,RHP,2003,3,81.8730863444459
FIN,RHP,2003,4,83.1320871865501
FIN,RHP,2004,1,85.4805075718303
FIN,RHP,2004,2,87.1510642263155
FIN,RHP,2004,3,87.9032521112224
FIN,RHP,2004,4,88.6254275122121
FIN,RHP,2005,1,90.3424973277074
FIN,RHP,2005,2,92.1374734647075
FIN,RHP,2005,3,94.0356544857595
FIN,RHP,2005,4,96.3222545824731
FIN,RHP,2006,1,96.4949420686875
FIN,RHP,2006,2,97.729808515867
FIN,RHP,2006,3,98.6865844348052
FIN,RHP,2006,4,100.407368209959
FIN,RHP,2007,1,101.284093152532
FIN,RHP,2007,2,102.017579710717
FIN,RHP,2007,3,102.73501818981
FIN,RHP,2007,4,102.592892322998
FIN,RHP,2008,1,101.733607719596
FIN,RHP,2008,2,101.142963979423
FIN,RHP,2008,3,99.6827427383893
FIN,RHP,2008,4,95.8399274986969
FIN,RHP,2009,1,97.1905322158919
FIN,RHP,2009,2,97.7373752352916
FIN,RHP,2009,3,99.6964229072257
FIN,RHP,2009,4,101.951544426818
FIN,RHP,2010,1,103.343910108659
FIN,RHP,2010,2,103.301993212608
FIN,RHP,2010,3,104.752075095223
FIN,RHP,2010,4,104.330198313072
FIN,RHP,2011,1,103.674325040891
FIN,RHP,2011,2,104.440054823559
FIN,RHP,2011,3,104.034686821223
FIN,RHP,2011,4,103.035348531808
FIN,RHP,2012,1,103.78034489333
FIN,RHP,2012,2,103.246986259496
FIN,RHP,2012,3,102.896990305213
FIN,RHP,2012,4,103.608107962455
FIN,RHP,2013,1,102.766514132044
FIN,RHP,2013,2,102.185660683868
FIN,RHP,2013,3,101.917118571056
FIN,RHP,2013,4,101.609061789336
FIN,RHP,2014,1,100.765308044892
FIN,RHP,2014,2,100.629101891847
FIN,RHP,2014,3,100.429099514236
FIN,RHP,2014,4,100.025503527841
FIN,RHP,2015,1,99.8201260374406
FIN,RHP,2015,2,99.8518205671972
FIN,RHP,2015,3,100.308734740832
FIN,RHP,2015,4,100.01931865453
FIN,RHP,2016,1,101.124925506773
FIN,RHP,2016,2,100.852530150666
FIN,RHP,2016,3,101.697789029151
FIN,RHP,2016,4,100.847468688024
FIN,RHP,2017,1,101.093599011571
FIN,RHP,2017,2,101.505335010597
FIN,RHP,2017,3,101.149885543603
FIN,RHP,2017,4,101.009776684447
FIN,RHP,2018,1,101.340266865137
FIN,RHP,2018,2,100.992488146348
FIN,RHP,2018,3,100.468933978286
FIN,RHP,2018,4,100.492732549992
FIN,RHP,2019,1,100.490216422272
FIN,RHP,2019,2,100.809210826051
FIN,RHP,2019,3,99.9751906280257
FIN,RHP,2019,4,99.7798265906591
FIN,RHP,2020,1,101.500457456975
FIN,RHP,2020,2,100.685944548461
FIN,RHP,2020,3,101.451483774666
FIN,RHP,2020,4,102.927553474
FIN,RHP,2021,1,104.424173821428
FIN,RHP,2021,2,104.267330448994
FIN,RHP,2021,3,103.944053440259
FIN,RHP,2021,4,103.441285113331
FIN,RHP,2022,1,102.4832013525
FIN,RHP,2022,2,100.426032780658
FIN,RHP,2022,3,98.4930047665943
FIN,RHP,2022,4,93.3773772761143
FIN,RHP,2023,1,90.9995897151634
FIN,RHP,2023,2,89.7994316032059
FIN,RHP,2023,3,87.0484350792344
FIN,RHP,2023,4,86.8138649824926
FIN,RHP,2024,1,86.3398173504807
FIN,RHP,2024,2,85.0401121355053
FIN,RHP,2024,3,84.6469418880902
FIN,RHP,2024,4,84.0844960664754
FIN,RHP,2025,1,83.3838974262084
FIN,RHP,2025,2,82.7557130997626
FIN,RHP,2025,3,81.540783913585
FIN,RHP,2025,4,80.8956316719849
FIN,RHP,2026,1,80.4164031766947
SWE,RHP,1970,1,41.8432657605396
SWE,RHP,1970,2,41.7697199591697
SWE,RHP,1970,3,41.6503722761001
SWE,RHP,1970,4,41.4254716921202
SWE,RHP,1971,1,40.8244210949667
SWE,RHP,1971,2,40.7256369774617
SWE,RHP,1971,3,40.7151982213802
SWE,RHP,1971,4,40.7370897895851
SWE,RHP,1972,1,41.1896879906147
SWE,RHP,1972,2,41.256784388592
SWE,RHP,1972,3,41.1493675433908
SWE,RHP,1972,4,41.0104811354201
SWE,RHP,1973,1,41.6391360821016
SWE,RHP,1973,2,41.3558478684063
SWE,RHP,1973,3,40.8282869025815
SWE,RHP,1973,4,40.3503829527852
SWE,RHP,1974,1,40.5203823918128
SWE,RHP,1974,2,40.0877400702636
SWE,RHP,1974,3,40.2899185561461
SWE,RHP,1974,4,41.3691609163489
SWE,RHP,1975,1,42.3117916524069
SWE,RHP,1975,2,43.0085793255651
SWE,RHP,1975,3,43.4839559428212
SWE,RHP,1975,4,43.7524209398043
SWE,RHP,1976,1,44.3675958008753
SWE,RHP,1976,2,44.8512614970739
SWE,RHP,1976,3,45.2628331290963
SWE,RHP,1976,4,45.5652312770691
SWE,RHP,1977,1,46.5841162649124
SWE,RHP,1977,2,46.9744854145777
SWE,RHP,1977,3,47.2648879925104
SWE,RHP,1977,4,47.5572266276627
SWE,RHP,1978,1,47.3426695792604
SWE,RHP,1978,2,47.8151548244419
SWE,RHP,1978,3,48.319036226009
SWE,RHP,1978,4,48.7430500377521
SWE,RHP,1979,1,49.8344731194759
SWE,RHP,1979,2,49.6944045240696
SWE,RHP,1979,3,49.3061145059123
SWE,RHP,1979,4,48.834042088782
SWE,RHP,1980,1,47.7300069979927
SWE,RHP,1980,2,46.7978446790972
SWE,RHP,1980,3,45.9563188885
SWE,RHP,1980,4,45.1993167291436
SWE,RHP,1981,1,44.1612729156452
SWE,RHP,1981,2,43.0117950687265
SWE,RHP,1981,3,41.8319170075008
SWE,RHP,1981,4,40.6726610069854
SWE,RHP,1982,1,40.0194782976626
SWE,RHP,1982,2,39.033521346266
SWE,RHP,1982,3,38.0590697125444
SWE,RHP,1982,4,37.180917625495
SWE,RHP,1983,1,35.9096042339718
