freq,unit,sector,na_item,geo,time,value
A,PC_GDP,S13,TR,AT,1995,49.9
A,PC_GDP,S13,TR,AT,1996,51.4
A,PC_GDP,S13,TR,AT,1997,50.1
A,PC_GDP,S13,TR,AT,1998,49.9
A,PC_GDP,S13,TR,AT,1999,49.8
A,PC_GDP,S13,TR,AT,2000,49.0
A,PC_GDP,S13,TR,AT,2001,51.1
A,PC_GDP,S13,TR,AT,2002,50.2
A,PC_GDP,S13,TR,AT,2003,49.9
A,PC_GDP,S13,TR,AT,2004,49.4
A,PC_GDP,S13,TR,AT,2005,49.1
A,PC_GDP,S13,TR,AT,2006,48.3
A,PC_GDP,S13,TR,AT,2007,48.4
A,PC_GDP,S13,TR,AT,2008,48.8
A,PC_GDP,S13,TR,AT,2009,49.2
A,PC_GDP,S13,TR,AT,2010,48.9
A,PC_GDP,S13,TR,AT,2011,48.9
A,PC_GDP,S13,TR,AT,2012,49.6
A,PC_GDP,S13,TR,AT,2013,50.4
A,PC_GDP,S13,TR,AT,2014,50.5
A,PC_GDP,S13,TR,AT,2015,50.7
A,PC_GDP,S13,TR,AT,2016,49.2
A,PC_GDP,S13,TR,AT,2017,49.0
A,PC_GDP,S13,TR,AT,2018,49.4
A,PC_GDP,S13,TR,AT,2019,49.6
A,PC_GDP,S13,TR,AT,2020,49.1
A,PC_GDP,S13,TR,AT,2021,50.3
A,PC_GDP,S13,TR,AT,2022,49.6
A,PC_GDP,S13,TR,AT,2023,49.7
A,PC_GDP,S13,TR,AT,2024,50.6
A,PC_GDP,S13,TR,AT,2025,51.0
A,PC_GDP,S13,TR,BE,1995,48.1
A,PC_GDP,S13,TR,BE,1996,49.0
A,PC_GDP,S13,TR,BE,1997,49.5
A,PC_GDP,S13,TR,BE,1998,49.9
A,PC_GDP,S13,TR,BE,1999,49.8
A,PC_GDP,S13,TR,BE,2000,49.3
A,PC_GDP,S13,TR,BE,2001,49.6
A,PC_GDP,S13,TR,BE,2002,49.9
A,PC_GDP,S13,TR,BE,2003,49.2
A,PC_GDP,S13,TR,BE,2004,49.1
A,PC_GDP,S13,TR,BE,2005,49.1
A,PC_GDP,S13,TR,BE,2006,49.0
A,PC_GDP,S13,TR,BE,2007,48.6
A,PC_GDP,S13,TR,BE,2008,49.7
A,PC_GDP,S13,TR,BE,2009,49.1
A,PC_GDP,S13,TR,BE,2010,49.8
A,PC_GDP,S13,TR,BE,2011,50.6
A,PC_GDP,S13,TR,BE,2012,51.9
A,PC_GDP,S13,TR,BE,2013,52.7
A,PC_GDP,S13,TR,BE,2014,52.2
A,PC_GDP,S13,TR,BE,2015,51.4
A,PC_GDP,S13,TR,BE,2016,50.9
A,PC_GDP,S13,TR,BE,2017,51.5
A,PC_GDP,S13,TR,BE,2018,51.4
A,PC_GDP,S13,TR,BE,2019,49.7
A,PC_GDP,S13,TR,BE,2020,49.4
A,PC_GDP,S13,TR,BE,2021,49.5
A,PC_GDP,S13,TR,BE,2022,48.9
A,PC_GDP,S13,TR,BE,2023,48.7
A,PC_GDP,S13,TR,BE,2024,49.7
A,PC_GDP,S13,TR,BE,2025,49.0
A,PC_GDP,S13,TR,BG,1995,26.2
A,PC_GDP,S13,TR,BG,1996,28.6
A,PC_GDP,S13,TR,BG,1997,33.3
A,PC_GDP,S13,TR,BG,1998,35.3
A,PC_GDP,S13,TR,BG,1999,41.6
A,PC_GDP,S13,TR,BG,2000,43.1
A,PC_GDP,S13,TR,BG,2001,41.3
A,PC_GDP,S13,TR,BG,2002,38.0
A,PC_GDP,S13,TR,BG,2003,38.5
A,PC_GDP,S13,TR,BG,2004,39.6
A,PC_GDP,S13,TR,BG,2005,38.4
A,PC_GDP,S13,TR,BG,2006,36.3
A,PC_GDP,S13,TR,BG,2007,37.7
A,PC_GDP,S13,TR,BG,2008,38.5
A,PC_GDP,S13,TR,BG,2009,34.8
A,PC_GDP,S13,TR,BG,2010,32.5
A,PC_GDP,S13,TR,BG,2011,32.0
A,PC_GDP,S13,TR,BG,2012,33.5
A,PC_GDP,S13,TR,BG,2013,37.0
A,PC_GDP,S13,TR,BG,2014,37.8
A,PC_GDP,S13,TR,BG,2015,38.5
A,PC_GDP,S13,TR,BG,2016,35.1
A,PC_GDP,S13,TR,BG,2017,36.4
A,PC_GDP,S13,TR,BG,2018,38.8
A,PC_GDP,S13,TR,BG,2019,38.7
A,PC_GDP,S13,TR,BG,2020,37.6
A,PC_GDP,S13,TR,BG,2021,37.6
A,PC_GDP,S13,TR,BG,2022,38.4
A,PC_GDP,S13,TR,BG,2023,36.9
A,PC_GDP,S13,TR,BG,2024,36.1
A,PC_GDP,S13,TR,BG,2025,38.1
A,PC_GDP,S13,TR,CH,1995,31.5
A,PC_GDP,S13,TR,CH,1996,32.0
A,PC_GDP,S13,TR,CH,1997,31.6
A,PC_GDP,S13,TR,CH,1998,32.4
A,PC_GDP,S13,TR,CH,1999,32.7
A,PC_GDP,S13,TR,CH,2000,33.6
A,PC_GDP,S13,TR,CH,2001,32.8
A,PC_GDP,S13,TR,CH,2002,33.3
A,PC_GDP,S13,TR,CH,2003,32.8
A,PC_GDP,S13,TR,CH,2004,32.5
A,PC_GDP,S13,TR,CH,2005,32.6
A,PC_GDP,S13,TR,CH,2006,32.2
A,PC_GDP,S13,TR,CH,2007,31.5
A,PC_GDP,S13,TR,CH,2008,32.6
A,PC_GDP,S13,TR,CH,2009,33.4
A,PC_GDP,S13,TR,CH,2010,32.7
A,PC_GDP,S13,TR,CH,2011,33.2
A,PC_GDP,S13,TR,CH,2012,32.9
A,PC_GDP,S13,TR,CH,2013,33.0
A,PC_GDP,S13,TR,CH,2014,33.0
A,PC_GDP,S13,TR,CH,2015,34.0
A,PC_GDP,S13,TR,CH,2016,33.9
A,PC_GDP,S13,TR,CH,2017,34.5
A,PC_GDP,S13,TR,CH,2018,34.1
A,PC_GDP,S13,TR,CH,2019,34.3
A,PC_GDP,S13,TR,CH,2020,35.5
A,PC_GDP,S13,TR,CH,2021,34.6
A,PC_GDP,S13,TR,CH,2022,33.9
A,PC_GDP,S13,TR,CH,2023,33.8
A,PC_GDP,S13,TR,CH,2024,34.2
A,PC_GDP,S13,TR,CY,1995,32.2
A,PC_GDP,S13,TR,CY,1996,32.0
A,PC_GDP,S13,TR,CY,1997,31.5
A,PC_GDP,S13,TR,CY,1998,32.6
A,PC_GDP,S13,TR,CY,1999,32.4
A,PC_GDP,S13,TR,CY,2000,34.6
A,PC_GDP,S13,TR,CY,2001,35.4
