iso3,funcion,year,pct_gdp
AFG,GF01,2006,3.528636692663
AFG,GF01,2007,4.17731696312226
AFG,GF01,2008,2.82742733851596
AFG,GF01,2009,4.83061800842927
AFG,GF01,2010,5.13947445421485
AFG,GF01,2011,6.15796692201184
AFG,GF01,2012,5.32850328618748
AFG,GF01,2013,3.08732580997628
AFG,GF01,2014,3.24887450524703
AFG,GF01,2015,2.80149593365766
AFG,GF01,2016,3.25040821082108
AFG,GF01,2017,2.60788117676697
ALB,GF01,2005,7.115857779807481
ALB,GF01,2006,6.393857136662064
ALB,GF01,2007,5.632621097539471
ALB,GF01,2008,6.626847866933291
ALB,GF01,2010,5.859663398236566
ALB,GF01,2011,6.002710635836148
ALB,GF01,2012,5.484296017045831
ALB,GF01,2013,6.050541869668336
ALB,GF01,2014,5.545203415543744
ALB,GF01,2015,5.59997318843655
ALB,GF01,2016,5.675820342526688
ALB,GF01,2017,5.145164451129087
ALB,GF01,2018,5.246575211650262
ALB,GF01,2019,4.957835992106027
ALB,GF01,2020,5.058802247792984
ALB,GF01,2021,4.901832082801848
ALB,GF01,2022,4.354833481773301
ALB,GF01,2023,4.864691251204239
AND,GF01,2018,2.947631514883086
AND,GF01,2019,3.579022302941235
AND,GF01,2020,3.409678753359597
AND,GF01,2021,3.187025121952095
AND,GF01,2022,3.003371953944025
AND,GF01,2023,3.060809133955241
AND,GF01,2024,2.923282002183253
ARE,GF01,2024,5.399529681313815
ARM,GF01,2013,4.916076061965415
ARM,GF01,2017,5.235575012393762
ARM,GF01,2018,5.025328095237937
ARM,GF01,2019,4.547229860827574
ARM,GF01,2020,4.951850334796583
ARM,GF01,2021,4.920080823924902
ARM,GF01,2022,4.235787619635194
ARM,GF01,2023,4.75030928439189
ARM,GF01,2024,5.791606636856245
AUS,GF01,1999,5.14834383733196
AUS,GF01,2000,4.78583626567047
AUS,GF01,2001,4.55151436263864
AUS,GF01,2002,4.068408291046
AUS,GF01,2003,3.86689878259612
AUS,GF01,2004,3.55599796442212
AUS,GF01,2005,3.62802824371465
AUS,GF01,2006,3.57101955851627
AUS,GF01,2007,3.56460004115412
AUS,GF01,2008,3.3692092853818
AUS,GF01,2009,3.55683222520832
AUS,GF01,2010,3.84468228268024
AUS,GF01,2011,3.87370170902612
AUS,GF01,2012,4.27346591542826
AUS,GF01,2013,4.05821179842759
AUS,GF01,2014,4.32675265181469
AUS,GF01,2015,4.43370108420999
AUS,GF01,2016,4.25796348029331
AUS,GF01,2017,4.08298499113143
AUS,GF01,2018,3.81659802256412
AUS,GF01,2019,3.79510251701589
AUS,GF01,2020,3.84934270480474
AUS,GF01,2021,3.28850516348918
AUS,GF01,2022,3.42411606076791
AUT,GF01,1995,9.285174133886066
AUT,GF01,1996,9.479013120930693
AUT,GF01,1997,8.697069427358757
AUT,GF01,1998,8.559836128536679
AUT,GF01,1999,8.49313766527959
AUT,GF01,2000,8.277768623444613
AUT,GF01,2001,8.582341491432402
AUT,GF01,2002,8.188539593403469
AUT,GF01,2003,7.807406025800071
AUT,GF01,2004,7.656184782699071
AUT,GF01,2005,7.79362802401379
AUT,GF01,2006,7.776076018861823
AUT,GF01,2007,7.568240446762672
AUT,GF01,2008,7.239681201729679
AUT,GF01,2009,7.709861880575952
AUT,GF01,2010,7.645180597923489
AUT,GF01,2011,7.353058568892841
AUT,GF01,2012,7.259680532172628
AUT,GF01,2013,7.216400159406212
AUT,GF01,2014,6.797732897522969
AUT,GF01,2015,6.754583669508074
AUT,GF01,2016,6.468121777172966
AUT,GF01,2017,5.983863107311562
AUT,GF01,2018,5.876091369763643
AUT,GF01,2019,5.721806791388578
AUT,GF01,2020,6.120641147671159
AUT,GF01,2021,5.776098387128537
AUT,GF01,2022,5.339309430433007
AUT,GF01,2023,5.58332259148358
AUT,GF01,2024,6.05504695150788
AZE,GF01,2008,2.342975309564741
AZE,GF01,2009,2.181057243975058
AZE,GF01,2010,3.256799717414341
AZE,GF01,2011,3.475058561499174
AZE,GF01,2012,4.939719421306445
AZE,GF01,2013,3.698050943590801
AZE,GF01,2014,5.88724709390992
AZE,GF01,2015,6.186465612357484
AZE,GF01,2016,4.351510136532892
AZE,GF01,2017,3.749708550143592
AZE,GF01,2018,4.851485791339959
AZE,GF01,2019,5.944612679495946
AZE,GF01,2020,6.475929344980573
AZE,GF01,2021,3.433795049515574
AZE,GF01,2022,4.072242392123786
AZE,GF01,2023,4.860450912871158
AZE,GF01,2024,4.503669946254858
BEL,GF01,1995,13.57850729250796
BEL,GF01,1996,13.27069177928769
BEL,GF01,1997,12.54130949884204
BEL,GF01,1998,11.94902503610977
BEL,GF01,1999,11.60106145896958
BEL,GF01,2000,11.38827347333604
BEL,GF01,2001,10.97346170579
BEL,GF01,2002,10.51757515873452
BEL,GF01,2003,10.25504887962703
BEL,GF01,2004,9.515868202951284
BEL,GF01,2005,9.27263520160497
BEL,GF01,2006,8.548735818127579
BEL,GF01,2007,8.676935792258286
BEL,GF01,2008,8.692767162388447
BEL,GF01,2009,9.082864825226107
BEL,GF01,2010,8.670060180265498
BEL,GF01,2011,8.84833411221739
BEL,GF01,2012,8.796579848222388
BEL,GF01,2013,8.679909887308455
BEL,GF01,2014,8.523010971481064
BEL,GF01,2015,8.118776140810226
BEL,GF01,2016,8.046383968893753
BEL,GF01,2017,7.272083498719013
BEL,GF01,2018,7.262019795774464
BEL,GF01,2019,6.91222786299187
BEL,GF01,2020,7.505401617250674
BEL,GF01,2021,7.022746899003452
BEL,GF01,2022,6.490695570417413
BEL,GF01,2023,6.775857846837146
BEL,GF01,2024,7.171673575087339
BGR,GF01,1990,3.7
BGR,GF01,1991,5.350253807106599
BGR,GF01,1992,6.24020618556701
BGR,GF01,1993,8.320785219399538
BGR,GF01,1994,13.84671916010499
BGR,GF01,1995,12.208934169279
BGR,GF01,1996,17.87617741197988
BGR,GF01,1997,10.14721521647751
BGR,GF01,1998,7.857728647014361
BGR,GF01,1999,9.036820668450266
BGR,GF01,2000,10.81678933333333
BGR,GF01,2001,8.267444412172846
BGR,GF01,2002,6.859000851213713
BGR,GF01,2003,3.948621649653365
BGR,GF01,2004,5.296907842042669
BGR,GF01,2005,5.88663674841015
BGR,GF01,2006,4.491829577674974
BGR,GF01,2007,7.277684505622579
BGR,GF01,2008,4.892308537070847
BGR,GF01,2009,7.145412060507509
BGR,GF01,2010,3.811271498771499
BGR,GF01,2011,3.936251016936617
BGR,GF01,2012,3.386112556417361
BGR,GF01,2013,3.639094014807971
BGR,GF01,2014,3.919299329752341
BGR,GF01,2015,3.834149445691128
BGR,GF01,2016,3.583521589109482
BGR,GF01,2017,3.196348957471052
BGR,GF01,2018,3.622670383122916
BGR,GF01,2019,3.570578619918937
BGR,GF01,2020,3.495425640856237
BGR,GF01,2021,4.924502514290626
BGR,GF01,2022,3.643464005702067
BGR,GF01,2023,3.146314641559549
BLR,GF01,2003,4.757244115313409
BLR,GF01,2004,4.560435287289611
BLR,GF01,2005,5.070286860879905
BLR,GF01,2006,3.756155441678868
BLR,GF01,2007,3.251414352543048
BLR,GF01,2008,3.006057240813893
BLR,GF01,2009,3.363922312618763
BLR,GF01,2010,3.082203230529712
BLR,GF01,2011,2.823596419853539
BLR,GF01,2012,6.202640517146927
BLR,GF01,2013,6.776245359256885
BLR,GF01,2014,2.8512013278894
BLR,GF01,2015,5.353505593549105
BLR,GF01,2016,3.419582532204868
BLR,GF01,2017,4.554081492359194
BLR,GF01,2018,4.009123895552649
BLR,GF01,2019,5.479680552407743
BLR,GF01,2020,5.701236286672538
BLR,GF01,2021,5.845798956882064
BLR,GF01,2022,4.538384609014096
BLR,GF01,2023,3.9543745692087
BLR,GF01,2024,3.724999988782864
BOL,GF01,2002,5.54501887968997
BOL,GF01,2003,6.60145497254691
BOL,GF01,2004,6.43494200599603
BOL,GF01,2005,6.63043112675326
BOL,GF01,2006,6.36789265708862
BOL,GF01,2007,5.27973921059714
BRA,GF01,2010,10.15279465621361
BRA,GF01,2011,10.53016898897781
BRA,GF01,2012,9.884976077241399
BRA,GF01,2013,9.753642260044652
BRA,GF01,2014,10.27727582206874
BRA,GF01,2015,14.76454816850941
BRA,GF01,2016,12.71980925412626
BRA,GF01,2017,11.61829402288435
BRA,GF01,2018,11.51068188422503
BRA,GF01,2019,9.965419351798973
BRA,GF01,2020,8.621360156013951
BRA,GF01,2021,9.892336106851701
BRA,GF01,2022,11.0523664848006
BRA,GF01,2023,11.34952748722986
BRA,GF01,2024,11.08226374995353
CAN,GF01,2008,5.836125961880243
CAN,GF01,2009,6.15127019462444
CAN,GF01,2010,6.3035998962815
CAN,GF01,2011,5.9736886457809
CAN,GF01,2012,5.70325870005544
CAN,GF01,2013,5.473106279047884
CAN,GF01,2014,5.204075596847558
CAN,GF01,2015,5.317464823122112
CAN,GF01,2016,5.265176854510043
CAN,GF01,2017,5.268608795216012
CAN,GF01,2018,5.411475281514531
CAN,GF01,2019,5.513789769286594
CAN,GF01,2020,5.650415419402691
CAN,GF01,2021,5.030999858822676
CAN,GF01,2022,5.044195949406161
CAN,GF01,2023,5.378057883775705
CAN,GF01,2024,5.58827033153167
CHE,GF01,1990,4.327431727503573
CHE,GF01,1991,4.553698111759491
CHE,GF01,1992,4.969774377055431
CHE,GF01,1993,5.104008130956083
CHE,GF01,1994,5.223474241614322
CHE,GF01,1995,5.254289023715765
CHE,GF01,1996,5.171413062761994
CHE,GF01,1997,5.117716423299923
CHE,GF01,1998,5.085374340580831
CHE,GF01,1999,5.053994920724901
CHE,GF01,2000,4.898395248728446
CHE,GF01,2001,4.939486008668161
CHE,GF01,2002,4.982411866512897
CHE,GF01,2003,4.898837704667505
CHE,GF01,2004,4.743564554656169
CHE,GF01,2005,4.728565583365495
CHE,GF01,2006,4.514829859716983
CHE,GF01,2007,4.30948035423541
CHE,GF01,2008,4.287988749835521
CHE,GF01,2009,4.425679587507591
CHE,GF01,2010,4.492067064933358
CHE,GF01,2011,4.41973473025164
CHE,GF01,2012,4.487607355651174
CHE,GF01,2013,4.481299163748626
CHE,GF01,2014,4.499234540501161
CHE,GF01,2015,4.545155023972839
CHE,GF01,2016,4.426022110433349
CHE,GF01,2017,4.550955108325789
CHE,GF01,2018,4.364970309895188
CHE,GF01,2019,4.272157288740287
CHE,GF01,2020,4.487263980264179
CHE,GF01,2021,4.248516717703124
CHE,GF01,2022,4.127038813142862
CHE,GF01,2023,4.163895993310796
CHE,GF01,2024,4.430297665227582
CHN,GF01,2005,6.385389231989077
CHN,GF01,2006,4.692676413633798
CHN,GF01,2007,2.983693890034967
CHN,GF01,2008,2.814375090845552
CHN,GF01,2009,2.802565055383616
CHN,GF01,2010,2.705910044653222
CHN,GF01,2011,2.638266105166757
CHN,GF01,2012,2.714815555435543
CHN,GF01,2013,2.695998713136729
CHN,GF01,2014,2.642393219075723
CHN,GF01,2015,2.626627792787835
CHN,GF01,2016,2.708048604213971
CHN,GF01,2017,2.836050645963685
CHN,GF01,2018,2.817747966888368
CHN,GF01,2019,3.050437935844902
CHN,GF01,2020,3.040986681729025
CHN,GF01,2021,2.76435708442271
CHN,GF01,2022,2.794456259899362
CHN,GF01,2023,2.754659427382983
CHN,GF01,2024,2.706786407839669
CRI,GF01,2019,5.63113816909187
CRI,GF01,2020,5.516417875081017
CRI,GF01,2021,5.601669522539748
CRI,GF01,2022,5.367225020705141
CRI,GF01,2023,5.443070295275244
CRI,GF01,2024,5.536014535396852
CYP,GF01,1995,6.613701484761657
CYP,GF01,1996,6.93984962406015
CYP,GF01,1997,7.239937895616864
CYP,GF01,1998,7.920529801324503
CYP,GF01,1999,7.636662556514591
CYP,GF01,2000,7.974516281264748
CYP,GF01,2001,7.91100989752124
CYP,GF01,2002,8.007072493053801
CYP,GF01,2003,8.994939665239393
CYP,GF01,2004,8.288827944572748
CYP,GF01,2005,8.637160976926191
CYP,GF01,2006,8.61
CYP,GF01,2007,8.842507994518044
CYP,GF01,2008,8.643345607574961
CYP,GF01,2009,9.506827309236948
CYP,GF01,2010,8.24829145470428
CYP,GF01,2011,8.78638332158324
CYP,GF01,2012,10.08155937419851
CYP,GF01,2013,8.90410199556541
CYP,GF01,2014,9.104158325230223
CYP,GF01,2015,9.067097637093179
CYP,GF01,2016,7.837382980961397
CYP,GF01,2017,7.342949980307208
CYP,GF01,2018,6.935069699192957
CYP,GF01,2019,7.28387675740353
CYP,GF01,2020,7.32859569142755
CYP,GF01,2021,6.492990654205607
CYP,GF01,2022,5.726248425639105
CYP,GF01,2023,5.666560306317805
CZE,GF01,1995,3.667412917837933
CZE,GF01,1996,3.444882959279696
CZE,GF01,1997,3.626622572478225
CZE,GF01,1998,3.392343712250171
CZE,GF01,1999,3.531860934381581
CZE,GF01,2000,3.502937867233404
CZE,GF01,2001,3.667153629415946
CZE,GF01,2002,4.213438068735196
CZE,GF01,2003,4.567666844204621
CZE,GF01,2004,4.607165608138152
CZE,GF01,2005,5.218591008100063
CZE,GF01,2006,4.334818024322343
CZE,GF01,2007,4.579880512229722
CZE,GF01,2008,4.694365216254157
CZE,GF01,2009,5.041407880613508
CZE,GF01,2010,4.803751693548547
CZE,GF01,2011,4.797850247414449
CZE,GF01,2012,6.716733205678147
CZE,GF01,2013,5.177774776799581
