freq,unit,age,sex,geo,time,value
A,NR,Y15-64,T,BE,1998,6706370.0
A,NR,Y15-64,T,BE,1999,6711049.0
A,NR,Y15-64,T,BE,2000,6719207.0
A,NR,Y15-64,T,BE,2001,6728589.0
A,NR,Y15-64,T,BE,2002,6758088.0
A,NR,Y15-64,T,BE,2003,6790755.0
A,NR,Y15-64,T,BE,2004,6818862.0
A,NR,Y15-64,T,BE,2005,6851494.0
A,NR,Y15-64,T,BE,2006,6906263.0
A,NR,Y15-64,T,BE,2007,6976743.0
A,NR,Y15-64,T,BE,2008,7046685.0
A,NR,Y15-64,T,BE,2009,7101426.0
A,NR,Y15-64,T,BE,2010,7147512.0
A,NR,Y15-64,T,BE,2011,7250159.0
A,NR,Y15-64,T,BE,2012,7270280.0
A,NR,Y15-64,T,BE,2013,7286902.0
A,NR,Y15-64,T,BE,2014,7286350.0
A,NR,Y15-64,T,BE,2015,7295584.0
A,NR,Y15-64,T,BE,2016,7326873.0
A,NR,Y15-64,T,BE,2017,7328664.0
A,NR,Y15-64,T,BE,2018,7333992.0
A,NR,Y15-64,T,BE,2019,7350494.0
A,NR,Y15-64,T,BE,2020,7375684.0
A,NR,Y15-64,T,BE,2021,7389952.0
A,NR,Y15-64,T,BE,2022,7416490.0
A,NR,Y15-64,T,BE,2023,7493388.0
A,NR,Y15-64,T,BE,2024,7535763.0
A,NR,Y15-64,T,BE,2025,7568843.0
A,NR,Y15-64,T,BG,1995,5647618.0
A,NR,Y15-64,T,BG,1996,5630874.0
A,NR,Y15-64,T,BG,1997,5624252.0
A,NR,Y15-64,T,BG,1998,5601526.0
A,NR,Y15-64,T,BG,1999,5584542.0
A,NR,Y15-64,T,BG,2000,5565165.0
A,NR,Y15-64,T,BG,2001,5551767.0
A,NR,Y15-64,T,BG,2002,5358603.0
A,NR,Y15-64,T,BG,2003,5336453.0
A,NR,Y15-64,T,BG,2004,5317621.0
A,NR,Y15-64,T,BG,2005,5297358.0
A,NR,Y15-64,T,BG,2006,5270029.0
A,NR,Y15-64,T,BG,2007,5235388.0
A,NR,Y15-64,T,BG,2008,5193519.0
A,NR,Y15-64,T,BG,2009,5147164.0
A,NR,Y15-64,T,BG,2010,5097115.0
A,NR,Y15-64,T,BG,2011,5033849.0
A,NR,Y15-64,T,BG,2012,4966189.0
A,NR,Y15-64,T,BG,2013,4807851.0
A,NR,Y15-64,T,BG,2014,4709758.0
A,NR,Y15-64,T,BG,2015,4613267.0
A,NR,Y15-64,T,BG,2016,4512841.0
A,NR,Y15-64,T,BG,2017,4418298.0
A,NR,Y15-64,T,BG,2018,4325143.0
A,NR,Y15-64,T,BG,2019,4232569.0
A,NR,Y15-64,T,BG,2020,4144270.0
A,NR,Y15-64,T,BG,2021,4105729.0
A,NR,Y15-64,T,BG,2022,4047300.0
