ccaa,anyo,valor,quarter
Aragón,1993,1193145.0,1
Aragón,1993,1193826.0,3
Aragón,1994,1194633.0,1
Aragón,1994,1195742.0,3
Aragón,1995,1196261.0,1
Aragón,1995,1196678.0,3
Aragón,1996,1197260.0,1
Aragón,1996,1197662.0,3
Aragón,1997,1198245.0,1
Aragón,1997,1198431.0,3
Aragón,1998,1199172.0,1
Aragón,1998,1199217.0,3
Aragón,1999,1199699.0,1
Aragón,1999,1199517.0,3
Aragón,2000,1200200.0,1
Aragón,2000,1200765.0,3
Aragón,2001,1202015.0,1
Aragón,2001,1203180.0,3
Aragón,2002,1209917.0,1
Aragón,2002,1217557.0,3
Aragón,2003,1225563.0,1
Aragón,2003,1231371.0,3
Aragón,2004,1237793.0,1
Aragón,2004,1244499.0,3
Aragón,2005,1255078.0,1
Aragón,2005,1263819.0,3
Aragón,2006,1273568.0,1
Aragón,2006,1282960.0,3
Aragón,2007,1294246.0,1
Aragón,2007,1309383.0,3
Aragón,2008,1325426.0,1
Aragón,2008,1336383.0,3
Aragón,2009,1342778.0,1
Aragón,2009,1344483.0,3
Aragón,2010,1344184.0,1
Aragón,2010,1343835.0,3
Aragón,2011,1344396.0,1
Aragón,2011,1344466.0,3
Aragón,2012,1343790.0,1
Aragón,2012,1339987.0,3
Aragón,2013,1337675.0,1
Aragón,2013,1333951.0,3
Aragón,2014,1330713.0,1
Aragón,2014,1327609.0,3
Aragón,2015,1325600.0,1
Aragón,2015,1320887.0,3
Aragón,2016,1318042.0,1
Aragón,2016,1316238.0,3
Aragón,2017,1315411.0,1
Aragón,2017,1315332.0,3
Aragón,2018,1313493.0,1
Aragón,2018,1315878.0,3
Aragón,2019,1320694.0,1
Aragón,2019,1324409.0,3
Aragón,2020,1330592.0,1
Aragón,2020,1331544.0,3
Aragón,2021,1331938.0,1
Aragón,2021,1331330.0,2
Aragón,2021,1330711.0,3
Aragón,2021,1332211.0,4
Aragón,2022,1328215.0,1
Aragón,2022,1329929.0,2
Aragón,2022,1334478.0,3
Aragón,2022,1337461.0,4
Aragón,2023,1341289.0,1
Aragón,2023,1343282.0,2
Aragón,2023,1345247.0,3
Aragón,2023,1348452.0,4
Aragón,2024,1351591.0,1
Aragón,2024,1352952.0,2
Aragón,2024,1356309.0,3
Aragón,2024,1360820.0,4
Aragón,2025,1364621.0,1
Aragón,2025,1366814.0,2
Aragón,2025,1374215.0,3
Aragón,2025,1379611.0,4
Aragón,2026,1381809.0,1
Aragón,2026,1385220.0,2
"Asturias, Principado de",1971,1052039.0,1
"Asturias, Principado de",1971,1055764.0,3
"Asturias, Principado de",1972,1060233.0,1
"Asturias, Principado de",1972,1064504.0,3
"Asturias, Principado de",1973,1069075.0,1
"Asturias, Principado de",1973,1072722.0,3
"Asturias, Principado de",1974,1077057.0,1
"Asturias, Principado de",1974,1080982.0,3
"Asturias, Principado de",1975,1085361.0,1
"Asturias, Principado de",1975,1089217.0,3
"Asturias, Principado de",1976,1093550.0,1
"Asturias, Principado de",1976,1097483.0,3
"Asturias, Principado de",1977,1102125.0,1
"Asturias, Principado de",1977,1105740.0,3
"Asturias, Principado de",1978,1109883.0,1
"Asturias, Principado de",1978,1113008.0,3
"Asturias, Principado de",1979,1116858.0,1
"Asturias, Principado de",1979,1119903.0,3
"Asturias, Principado de",1980,1123163.0,1
"Asturias, Principado de",1980,1126215.0,3
"Asturias, Principado de",1981,1128756.0,1
"Asturias, Principado de",1981,1130074.0,3
"Asturias, Principado de",1982,1130500.0,1
"Asturias, Principado de",1982,1130287.0,3
"Asturias, Principado de",1983,1129917.0,1
"Asturias, Principado de",1983,1129056.0,3
"Asturias, Principado de",1984,1128561.0,1
"Asturias, Principado de",1984,1127303.0,3
"Asturias, Principado de",1985,1126355.0,1
"Asturias, Principado de",1985,1124759.0,3
"Asturias, Principado de",1986,1122981.0,1
"Asturias, Principado de",1986,1121039.0,3
"Asturias, Principado de",1987,1119511.0,1
"Asturias, Principado de",1987,1117341.0,3
"Asturias, Principado de",1988,1115045.0,1
"Asturias, Principado de",1988,1112177.0,3
"Asturias, Principado de",1989,1109331.0,1
"Asturias, Principado de",1989,1105864.0,3
"Asturias, Principado de",1990,1102849.0,1
"Asturias, Principado de",1990,1098965.0,3
"Asturias, Principado de",1991,1095557.0,1
"Asturias, Principado de",1991,1093370.0,3
"Asturias, Principado de",1992,1092874.0,1
"Asturias, Principado de",1992,1091602.0,3
"Asturias, Principado de",1993,1091116.0,1
"Asturias, Principado de",1993,1089903.0,3
"Asturias, Principado de",1994,1088497.0,1
"Asturias, Principado de",1994,1087150.0,3
"Asturias, Principado de",1995,1086001.0,1
"Asturias, Principado de",1995,1084172.0,3
"Asturias, Principado de",1996,1082714.0,1
"Asturias, Principado de",1996,1080841.0,3
"Asturias, Principado de",1997,1079198.0,1
"Asturias, Principado de",1997,1077311.0,3
"Asturias, Principado de",1998,1076012.0,1
"Asturias, Principado de",1998,1073883.0,3
"Asturias, Principado de",1999,1072219.0,1
"Asturias, Principado de",1999,1069742.0,3
"Asturias, Principado de",2000,1068287.0,1
"Asturias, Principado de",2000,1066107.0,3
"Asturias, Principado de",2001,1064851.0,1
"Asturias, Principado de",2001,1063676.0,3
"Asturias, Principado de",2002,1062796.0,1
"Asturias, Principado de",2002,1062103.0,3
"Asturias, Principado de",2003,1062320.0,1
"Asturias, Principado de",2003,1062196.0,3
"Asturias, Principado de",2004,1062408.0,1
"Asturias, Principado de",2004,1062146.0,3
"Asturias, Principado de",2005,1062755.0,1
"Asturias, Principado de",2005,1062559.0,3
"Asturias, Principado de",2006,1063488.0,1
"Asturias, Principado de",2006,1063801.0,3
"Asturias, Principado de",2007,1065291.0,1
"Asturias, Principado de",2007,1068046.0,3
"Asturias, Principado de",2008,1071081.0,1
"Asturias, Principado de",2008,1074019.0,3
