iso3,cabecera,year,pct_gdp
MWI,cotizaciones,2018,0.0
MWI,cotizaciones,2019,0.0
MWI,cotizaciones,2020,0.0
MWI,cotizaciones,2021,0.0
MWI,cotizaciones,2022,0.0
MWI,cotizaciones,2023,0.0
MYS,cotizaciones,1990,0.0
MYS,cotizaciones,1991,0.0
MYS,cotizaciones,1992,0.0
MYS,cotizaciones,1993,0.0
MYS,cotizaciones,1994,0.0
MYS,cotizaciones,1995,0.0
MYS,cotizaciones,1996,0.0
MYS,cotizaciones,1997,0.0
MYS,cotizaciones,1998,0.0
MYS,cotizaciones,1999,0.0
WSM,cotizaciones,2005,0.0
WSM,cotizaciones,2006,0.0
WSM,cotizaciones,2007,0.0
WSM,cotizaciones,2008,0.0
WSM,cotizaciones,2009,0.0
WSM,cotizaciones,2010,0.0
WSM,cotizaciones,2011,0.0
WSM,cotizaciones,2012,0.0
WSM,cotizaciones,2013,0.0
WSM,cotizaciones,2014,0.0
WSM,cotizaciones,2015,0.0
WSM,cotizaciones,2016,0.0
WSM,cotizaciones,2017,0.0
WSM,cotizaciones,2018,0.0
WSM,cotizaciones,2019,0.0
WSM,cotizaciones,2020,0.0
WSM,cotizaciones,2021,0.0
WSM,cotizaciones,2022,0.0
WSM,cotizaciones,2023,0.0
WSM,cotizaciones,2024,0.0
SGP,cotizaciones,2005,0.0
SGP,cotizaciones,2006,0.0
SGP,cotizaciones,2007,0.0
SGP,cotizaciones,2008,0.0
SGP,cotizaciones,2009,0.0
SGP,cotizaciones,2010,0.0
SGP,cotizaciones,2011,0.0
SGP,cotizaciones,2012,0.0
SGP,cotizaciones,2013,0.0
SGP,cotizaciones,2014,0.0
SGP,cotizaciones,2015,0.0
SGP,cotizaciones,2016,0.0
SGP,cotizaciones,2017,0.0
SGP,cotizaciones,2018,0.0
SGP,cotizaciones,2019,0.0
SGP,cotizaciones,2020,0.0
SGP,cotizaciones,2021,0.0
SGP,cotizaciones,2022,0.0
SGP,cotizaciones,2023,0.0
SGP,cotizaciones,2024,0.0
SLB,cotizaciones,2007,0.0
SLB,cotizaciones,2008,0.0
SLB,cotizaciones,2009,0.0
SLB,cotizaciones,2010,0.0
SLB,cotizaciones,2011,0.0
SLB,cotizaciones,2012,0.0
SLB,cotizaciones,2013,0.0
SLB,cotizaciones,2014,0.0
SLB,cotizaciones,2015,0.0
SLB,cotizaciones,2016,0.0
SLB,cotizaciones,2017,0.0
SLB,cotizaciones,2018,0.0
SLB,cotizaciones,2019,0.0
SLB,cotizaciones,2020,0.0
SLB,cotizaciones,2021,0.0
SLB,cotizaciones,2022,0.0
SLB,cotizaciones,2023,0.0
SLB,cotizaciones,2024,0.0
SOM,cotizaciones,2013,0.0
SOM,cotizaciones,2014,0.0
SOM,cotizaciones,2015,0.0
SOM,cotizaciones,2016,0.0
SOM,cotizaciones,2017,0.0
SOM,cotizaciones,2018,0.0
SOM,cotizaciones,2019,0.0
SOM,cotizaciones,2020,0.0
SOM,cotizaciones,2021,0.0
SOM,cotizaciones,2022,0.0
ZAF,cotizaciones,1990,0.0
ZAF,cotizaciones,1991,0.0
ZAF,cotizaciones,1992,0.0
ZAF,cotizaciones,1993,0.0
ZAF,cotizaciones,1994,0.0
ZAF,cotizaciones,1995,0.0
ZAF,cotizaciones,1996,0.0
ZAF,cotizaciones,1997,0.0
ZAF,cotizaciones,1998,0.0
ZAF,cotizaciones,1999,0.0
ZAF,cotizaciones,2000,0.0
AUS,otros,2005,0.0
AUS,otros,2006,0.0
AUS,otros,2007,0.0
AUS,otros,2008,0.0
AUS,otros,2009,0.0
AUS,otros,2010,0.0
AUS,otros,2011,0.0
AUS,otros,2012,0.0
AUS,otros,2013,0.0
AUS,otros,2014,0.0
AUS,otros,2015,0.0
AUS,otros,2016,0.0
AUS,otros,2017,0.0
AUS,otros,2018,0.0
AUS,otros,2019,0.0
AUS,otros,2020,0.0
ESP,otros,2001,0.0
CPV,otros,1990,0.0
CPV,otros,1991,0.0
CPV,otros,1992,0.0
CPV,otros,1993,0.0
CPV,otros,1994,0.0
CPV,otros,1995,0.0
CPV,otros,1996,0.0
CPV,otros,1997,0.0
CPV,otros,1998,0.0
CPV,otros,1999,0.0
CPV,otros,2000,0.0
CPV,otros,2001,0.0
CPV,otros,2002,0.0
CPV,otros,2003,0.0
CPV,otros,2004,0.0
CPV,otros,2005,0.0
CPV,otros,2006,0.0
CPV,otros,2007,0.0
CPV,otros,2008,0.0
CPV,otros,2009,0.0
CPV,otros,2010,0.0
CPV,otros,2011,0.0
CPV,otros,2012,0.0
CPV,otros,2013,0.0
CPV,otros,2014,0.0
CPV,otros,2015,0.0
CPV,otros,2016,0.0
CPV,otros,2017,0.0
CPV,otros,2018,0.0
CPV,otros,2019,0.0
CPV,otros,2020,0.0
CPV,otros,2021,0.0
CPV,otros,2022,0.0
CPV,otros,2023,0.0
CMR,otros,1993,0.0
CMR,otros,1994,0.0
CMR,otros,1995,0.0
CMR,otros,1997,0.0
CMR,otros,1998,0.0
CMR,otros,2000,0.0
CMR,otros,2001,0.0
CMR,otros,2002,0.0
TCD,otros,2022,0.0
COK,otros,2005,0.0
COK,otros,2006,0.0
COK,otros,2007,0.0
COK,otros,2008,0.0
COK,otros,2009,0.0
COK,otros,2010,0.0
COK,otros,2012,0.0
COK,otros,2013,0.0
COK,otros,2014,0.0
COK,otros,2015,0.0
COK,otros,2016,0.0
COK,otros,2017,0.0
COK,otros,2018,0.0
COK,otros,2019,0.0
COK,otros,2020,0.0
COK,otros,2021,0.0
COK,otros,2022,0.0
COK,otros,2023,0.0
COK,otros,2024,0.0
CIV,otros,1990,0.0
CIV,otros,1991,0.0
CIV,otros,1992,0.0
CIV,otros,1993,0.0
CIV,otros,1994,0.0
CIV,otros,1995,0.0
HRV,otros,1995,0.0
HRV,otros,1996,0.0
HRV,otros,1997,0.0
HRV,otros,1998,0.0
HRV,otros,1999,0.0
HRV,otros,2000,0.0
HRV,otros,2001,0.0
HRV,otros,2002,0.0
HRV,otros,2003,0.0
HRV,otros,2004,0.0
HRV,otros,2005,0.0
HRV,otros,2006,0.0
HRV,otros,2007,0.0
HRV,otros,2008,0.0
HRV,otros,2009,0.0
HRV,otros,2010,0.0
HRV,otros,2011,0.0
HRV,otros,2012,0.0
HRV,otros,2013,0.0
HRV,otros,2014,0.0
HRV,otros,2015,0.0
HRV,otros,2016,0.0
HRV,otros,2017,0.0
HRV,otros,2018,0.0
HRV,otros,2019,0.0
HRV,otros,2020,0.0
HRV,otros,2021,0.0
HRV,otros,2022,0.0
HRV,otros,2023,0.0
HRV,otros,2024,0.0
COD,otros,2000,0.0
COD,otros,2001,0.0
COD,otros,2002,0.0
COD,otros,2003,0.0
MDV,otros,2005,0.0
MDV,otros,2006,0.0
MDV,otros,2007,0.0
MDV,otros,2008,0.0
MDV,otros,2009,0.0
MDV,otros,2012,0.0
MDV,otros,2013,0.0
MDV,otros,2014,0.0
MDV,otros,2015,0.0
MDV,otros,2016,0.0
MDV,otros,2017,0.0
MDV,otros,2018,0.0
MDV,otros,2020,0.0
MDV,otros,2021,0.0
MDV,otros,2022,0.0
MDV,otros,2023,0.0
MDV,otros,2024,0.0
MLT,otros,1996,0.0
MLT,otros,1997,0.0
MLT,otros,1998,0.0
MLT,otros,1999,0.0
MLT,otros,2000,0.0
MLT,otros,2001,0.0
MLT,otros,2002,0.0
MLT,otros,2003,0.0
MLT,otros,2004,0.0
MLT,otros,2005,0.0
MLT,otros,2006,0.0
MLT,otros,2007,0.0
MLT,otros,2008,0.0
MLT,otros,2009,0.0
MLT,otros,2010,0.0
MLT,otros,2011,0.0
MLT,otros,2012,0.0
MLT,otros,2013,0.0
MLT,otros,2014,0.0
MLT,otros,2015,0.0
MLT,otros,2016,0.0
MLT,otros,2017,0.0
MLT,otros,2018,0.0
MLT,otros,2019,0.0
MLT,otros,2020,0.0
