freq,unit,sex,age,geo,time,value
A,YR,T,Y_LT1,BG,2018,74.7
A,YR,T,Y_LT1,BG,2019,74.8
A,YR,T,Y_LT1,BG,2020,73.3
A,YR,T,Y_LT1,BG,2021,71.2
A,YR,T,Y_LT1,BG,2022,74.1
A,YR,T,Y_LT1,BG,2023,75.7
A,YR,T,Y_LT1,BG,2024,75.8
A,YR,T,Y_LT1,BY,2011,70.7
A,YR,T,Y_LT1,BY,2012,72.3
A,YR,T,Y_LT1,BY,2013,72.7
A,YR,T,Y_LT1,BY,2014,73.3
A,YR,T,Y_LT1,BY,2015,74.0
A,YR,T,Y_LT1,BY,2016,74.2
A,YR,T,Y_LT1,BY,2017,74.5
A,YR,T,Y_LT1,BY,2018,74.5
A,YR,T,Y_LT1,CH,1995,78.7
A,YR,T,Y_LT1,CH,1996,79.2
A,YR,T,Y_LT1,CH,1997,79.4
A,YR,T,Y_LT1,CH,1998,79.6
A,YR,T,Y_LT1,CH,1999,79.9
A,YR,T,Y_LT1,CH,2000,80.0
A,YR,T,Y_LT1,CH,2001,80.5
A,YR,T,Y_LT1,CH,2002,80.6
A,YR,T,Y_LT1,CH,2003,80.7
A,YR,T,Y_LT1,CH,2004,81.3
A,YR,T,Y_LT1,CH,2005,81.5
A,YR,T,Y_LT1,CH,2006,81.8
A,YR,T,Y_LT1,CH,2007,82.0
A,YR,T,Y_LT1,CH,2008,82.3
A,YR,T,Y_LT1,CH,2009,82.3
A,YR,T,Y_LT1,CH,2010,82.7
A,YR,T,Y_LT1,CH,2011,82.8
A,YR,T,Y_LT1,CH,2012,82.8
A,YR,T,Y_LT1,CH,2013,82.9
A,YR,T,Y_LT1,CH,2014,83.1
A,YR,T,Y_LT1,CH,2015,82.9
A,YR,T,Y_LT1,CH,2016,83.4
A,YR,T,Y_LT1,CH,2017,83.4
A,YR,T,Y_LT1,CH,2018,83.6
A,YR,T,Y_LT1,CH,2019,83.8
A,YR,T,Y_LT1,CH,2020,83.1
A,YR,T,Y_LT1,CH,2021,83.6
A,YR,T,Y_LT1,CH,2022,83.5
A,YR,T,Y_LT1,CH,2023,84.1
A,YR,T,Y_LT1,CH,2024,84.2
A,YR,T,Y_LT1,CY,1995,77.4
A,YR,T,Y_LT1,CY,1996,77.7
A,YR,T,Y_LT1,CY,1997,77.4
A,YR,T,Y_LT1,CY,1998,77.2
A,YR,T,Y_LT1,CY,1999,78.0
A,YR,T,Y_LT1,CY,2000,77.7
A,YR,T,Y_LT1,CY,2001,79.0
A,YR,T,Y_LT1,CY,2002,78.7
A,YR,T,Y_LT1,CY,2003,79.0
A,YR,T,Y_LT1,CY,2004,79.1
A,YR,T,Y_LT1,CY,2005,78.7
