area,serie,indice,anyo,quarter
PH,nominal,202.6184,2020,1
PH,nominal,212.0423,2020,2
PH,nominal,208.5135,2020,3
PH,nominal,209.6731,2020,4
PH,nominal,210.9456,2021,1
PH,nominal,217.1014,2021,2
PH,nominal,218.9644,2021,3
PH,nominal,223.0055,2021,4
PH,nominal,230.1263,2022,1
PH,nominal,238.0161,2022,2
PH,nominal,249.4314,2022,3
PH,nominal,251.8549,2022,4
PH,nominal,253.4098,2023,1
PH,nominal,263.0274,2023,2
PH,nominal,267.7573,2023,3
PH,nominal,259.9342,2023,4
PH,nominal,272.1933,2024,1
PH,nominal,283.7909,2024,2
PH,nominal,288.063,2024,3
PH,nominal,285.3213,2024,4
PH,nominal,292.78,2025,1
PH,nominal,305.2098,2025,2
PH,nominal,293.5066,2025,3
PH,nominal,289.794,2025,4
SI,nominal,98.6818,2007,1
SI,nominal,100.7807,2007,2
SI,nominal,104.1594,2007,3
SI,nominal,108.8008,2007,4
SI,nominal,110.3366,2008,1
SI,nominal,110.1318,2008,2
SI,nominal,112.2136,2008,3
SI,nominal,108.6216,2008,4
SI,nominal,101.8472,2009,1
SI,nominal,99.7654,2009,2
SI,nominal,98.076,2009,3
SI,nominal,99.7995,2009,4
SI,nominal,100.1749,2010,1
SI,nominal,100.7466,2010,2
SI,nominal,99.4241,2010,3
SI,nominal,99.6545,2010,4
SI,nominal,104.2959,2011,1
SI,nominal,103.9973,2011,2
SI,nominal,101.54,2011,3
SI,nominal,101.0196,2011,4
SI,nominal,96.9242,2012,1
SI,nominal,98.0419,2012,2
SI,nominal,95.4737,2012,3
SI,nominal,92.1036,2012,4
SI,nominal,92.7605,2013,1
SI,nominal,93.5114,2013,2
SI,nominal,88.1362,2013,3
SI,nominal,88.0679,2013,4
SI,nominal,86.6089,2014,1
SI,nominal,84.3309,2014,2
SI,nominal,83.4179,2014,3
SI,nominal,84.2029,2014,4
SI,nominal,85.4144,2015,1
SI,nominal,87.3512,2015,2
SI,nominal,84.2711,2015,3
SI,nominal,84.2456,2015,4
SI,nominal,86.1226,2016,1
SI,nominal,87.7437,2016,2
SI,nominal,88.4689,2016,3
SI,nominal,90.0474,2016,4
SI,nominal,91.8732,2017,1
SI,nominal,94.9874,2017,2
SI,nominal,95.7041,2017,3
SI,nominal,98.9378,2017,4
SI,nominal,100.7124,2018,1
SI,nominal,102.325,2018,2
SI,nominal,104.6628,2018,3
SI,nominal,107.12,2018,4
SI,nominal,108.3401,2019,1
SI,nominal,109.9185,2019,2
SI,nominal,112.0515,2019,3
SI,nominal,112.299,2019,4
SI,nominal,113.4679,2020,1
SI,nominal,115.6606,2020,2
SI,nominal,115.7374,2020,3
SI,nominal,118.1093,2020,4
SI,nominal,121.7098,2021,1
SI,nominal,127.3069,2021,2
SI,nominal,130.6685,2021,3
SI,nominal,136.7348,2021,4
SI,nominal,142.4257,2022,1
SI,nominal,147.1183,2022,2
SI,nominal,150.5055,2022,3
SI,nominal,152.5788,2022,4
SI,nominal,155.2493,2023,1
SI,nominal,158.1758,2023,2
SI,nominal,158.9779,2023,3
SI,nominal,163.1244,2023,4
SI,nominal,166.7506,2024,1
SI,nominal,169.2163,2024,2
SI,nominal,171.9551,2024,3
SI,nominal,175.513,2024,4
SI,nominal,172.0575,2025,1
SI,nominal,178.5845,2025,2
SI,nominal,176.6392,2025,3
SI,nominal,185.632,2025,4
CZ,nominal,102.074,2008,1
CZ,nominal,106.2746,2008,2
CZ,nominal,107.8498,2008,3
CZ,nominal,107.2197,2008,4
CZ,nominal,104.9094,2009,1
CZ,nominal,101.549,2009,2
CZ,nominal,100.7088,2009,3
CZ,nominal,99.9737,2009,4
CZ,nominal,99.9737,2010,1
CZ,nominal,100.1838,2010,2
CZ,nominal,99.8687,2010,3
CZ,nominal,99.9737,2010,4
CZ,nominal,100.1838,2011,1
CZ,nominal,100.7088,2011,2
CZ,nominal,100.0788,2011,3
CZ,nominal,99.1336,2011,4
CZ,nominal,98.6086,2012,1
CZ,nominal,98.7136,2012,2
CZ,nominal,98.5035,2012,3
CZ,nominal,98.3985,2012,4
CZ,nominal,98.2935,2013,1
CZ,nominal,98.8186,2013,2
CZ,nominal,98.7136,2013,3
CZ,nominal,98.5035,2013,4
CZ,nominal,99.7637,2014,1
CZ,nominal,100.6038,2014,2
CZ,nominal,101.4439,2014,3
CZ,nominal,102.179,2014,4
CZ,nominal,103.2292,2015,1
CZ,nominal,104.3844,2015,2
CZ,nominal,105.6445,2015,3
CZ,nominal,106.7997,2015,4
CZ,nominal,108.1649,2016,1
CZ,nominal,110.3702,2016,2
CZ,nominal,113.1006,2016,3
CZ,nominal,118.4563,2016,4
CZ,nominal,122.0268,2017,1
CZ,nominal,125.0722,2017,2
CZ,nominal,127.2775,2017,3
CZ,nominal,128.4327,2017,4
CZ,nominal,131.268,2018,1
CZ,nominal,135.1536,2018,2
CZ,nominal,138.514,2018,3
CZ,nominal,141.1394,2018,4
CZ,nominal,144.0798,2019,1
CZ,nominal,147.6503,2019,2
CZ,nominal,150.5907,2019,3
CZ,nominal,153.7411,2019,4
CZ,nominal,156.4715,2020,1
CZ,nominal,159.0969,2020,2
CZ,nominal,163.1924,2020,3
CZ,nominal,167.498,2020,4
CZ,nominal,177.3694,2021,1
CZ,nominal,186.5056,2021,2
CZ,nominal,199.3174,2021,3
CZ,nominal,210.659,2021,4
CZ,nominal,220.8454,2022,1
CZ,nominal,228.0914,2022,2
CZ,nominal,230.4017,2022,3
CZ,nominal,225.256,2022,4
CZ,nominal,222.4206,2023,1
CZ,nominal,221.8955,2023,2
CZ,nominal,222.3156,2023,3
CZ,nominal,222.9457,2023,4
CZ,nominal,225.0459,2024,1
CZ,nominal,230.9268,2024,2
CZ,nominal,235.9674,2024,3
CZ,nominal,241.7432,2024,4
CZ,nominal,247.414,2025,1
CZ,nominal,255.1851,2025,2
CZ,nominal,261.486,2025,3
CZ,nominal,266.8417,2025,4
MA,nominal,97.3797,2005,1
MA,nominal,97.0939,2005,2
MA,nominal,97.475,2005,3
MA,nominal,96.808,2005,4
MA,nominal,95.2835,2006,1
MA,nominal,94.9023,2006,2
MA,nominal,94.5212,2006,3
MA,nominal,94.8071,2006,4
MA,nominal,95.9505,2007,1
MA,nominal,97.0939,2007,2
MA,nominal,97.9514,2007,3
MA,nominal,102.4297,2007,4
MA,nominal,98.5231,2008,1
