iso3,year,variable,value
ASM,1980,obesity,52.256048
ASM,1981,obesity,53.427458
ASM,1982,obesity,54.613543
ASM,1983,obesity,55.793792
ASM,1984,obesity,56.96218
ASM,1985,obesity,58.098888
ASM,1986,obesity,59.198028
ASM,1987,obesity,60.257977
ASM,1988,obesity,61.269456
ASM,1989,obesity,62.218541
ASM,2023,obesity,75.611371
ZMB,2006,obesity,5.2924991
SWE,2001,obesity,12.413549
BDI,2021,obesity,4.4457965
TKL,2015,obesity,66.715419
ARG,1993,obesity,14.257471
GNQ,2020,obesity,17.154296
BDI,2017,obesity,3.6603395
BHR,2020,obesity,34.214231
SWE,2006,obesity,13.981089
COK,2000,obesity,54.814285
CHN,2018,obesity,6.4686425
ARE,2013,obesity,31.437996
MKD,2007,obesity,20.44802
BEL,2012,obesity,17.820448
NZL,2016,obesity,31.063807
ASM,2024,obesity,75.865024
ATG,1980,obesity,8.5841879
ATG,1981,obesity,8.9256965
ATG,1982,obesity,9.284579
ATG,1983,obesity,9.6609436
ATG,1984,obesity,10.029507
ATG,1985,obesity,10.386951
ATG,1986,obesity,10.756271
ATG,1987,obesity,11.138029
ATG,1988,obesity,11.534578
ATG,1989,obesity,11.945154
ATG,2023,obesity,33.909556
ATG,2024,obesity,34.584233
AUS,1980,obesity,7.5678036
AUS,1981,obesity,8.0023423
AUS,1982,obesity,8.458332
AUS,1983,obesity,8.9353099
SVK,1993,obesity,13.400473
OMN,2014,obesity,25.923175
DOM,2011,obesity,21.727942
AGO,2009,obesity,7.6835208
PRY,2019,obesity,30.535802
USA,1995,obesity,22.820497
MKD,2022,obesity,26.060194
STP,2006,obesity,9.4117209
SOM,1990,obesity,3.3529334
AND,2011,obesity,16.679117
ARG,2014,obesity,27.963987
VCT,1991,obesity,13.125053
PRK,2008,obesity,5.3903379
CHL,1997,obesity,18.308142
EST,2001,obesity,17.341526
PRK,1999,obesity,3.3422656
GTM,1992,obesity,7.6452024
SVK,2011,obesity,20.136864
LTU,1995,obesity,19.735147
ROU,1997,obesity,10.416643
LBN,2011,obesity,26.249021
COD,1998,obesity,2.0074477
AUT,1995,obesity,10.609125
GEO,2006,obesity,22.495052
HND,1996,obesity,11.724636
BRB,2003,obesity,24.221992
OMN,2016,obesity,26.963431
URY,1994,obesity,14.125124
AUS,1984,obesity,9.4337255
AUS,1985,obesity,9.9497668
AUS,1986,obesity,10.484342
AUS,1987,obesity,11.036285
AUS,1988,obesity,11.60863
AUS,1989,obesity,12.202567
AUS,2023,obesity,30.188671
AUS,2024,obesity,30.585495
AUT,1980,obesity,7.8257538
AUT,1981,obesity,7.9646364
AUT,1982,obesity,8.1104815
AUT,1983,obesity,8.2626961
AUT,1984,obesity,8.4210895
AUT,1985,obesity,8.5848391
AUT,1986,obesity,8.7534584
AUT,1987,obesity,8.9262344
AUT,1988,obesity,9.1054164
NAM,2002,obesity,10.644622
LSO,2015,obesity,17.735034
NOR,2005,obesity,14.379443
ETH,2009,obesity,1.2271306
BGR,2014,obesity,18.468924
MKD,2019,obesity,24.994208
PRI,2007,obesity,31.203258
SLV,1992,obesity,12.917294
TLS,2012,obesity,1.2652426
CMR,1993,obesity,4.1034676
HRV,2003,obesity,17.142767
USA,2005,obesity,32.136202
BHR,1994,obesity,19.985266
PLW,2017,obesity,39.607206
GRC,2003,obesity,19.341528
DOM,1997,obesity,12.267027
ARG,2022,obesity,35.26631
BRA,2015,obesity,21.678105
ARG,2006,obesity,21.98714
SAU,2011,obesity,34.586945
LTU,1990,obesity,20.215857
COM,2009,obesity,9.5343731
GRL,1991,obesity,13.904099
LVA,1998,obesity,17.056678
SGP,2002,obesity,5.0227679
IND,1993,obesity,0.9654196
KGZ,1998,obesity,9.4801307
TGO,1990,obesity,1.5480627
MDG,2022,obesity,4.0236663
SLV,2011,obesity,24.684936
KOR,2011,obesity,3.922426
PAK,2020,obesity,20.296739
NAM,1995,obesity,7.7211335
MLI,2004,obesity,4.9136851
AUT,1989,obesity,9.2930146
AUT,2023,obesity,16.273256
AUT,2024,obesity,16.529769
AZE,1980,obesity,10.955158
AZE,1981,obesity,11.124858
AZE,1982,obesity,11.303073
AZE,1983,obesity,11.489438
AZE,1984,obesity,11.680023
AZE,1985,obesity,11.875523
AZE,1986,obesity,12.079022
AZE,1987,obesity,12.290738
AZE,1988,obesity,12.512664
AZE,1989,obesity,12.745994
AZE,2023,obesity,26.991722
AZE,2024,obesity,27.554527
BDI,1980,obesity,0.613965
BDI,1981,obesity,0.63487887
TZA,2009,obesity,5.9643716
DMA,2021,obesity,30.37633
VUT,2022,obesity,21.773966
CRI,2016,obesity,27.647662
CZE,2000,obesity,19.131936
CIV,2008,obesity,7.0971742
MLI,2016,obesity,9.0430379
EGY,2006,obesity,32.929018
KGZ,2021,obesity,20.016223
EGY,1998,obesity,26.064157
ETH,2004,obesity,0.8987708
DOM,2014,obesity,23.720838
VEN,2016,obesity,23.066834
TON,1995,obesity,51.295239
GUY,2001,obesity,14.62238
BEN,2014,obesity,8.5356854
LCA,2022,obesity,33.263206
NIU,2006,obesity,58.164442
PAN,2014,obesity,28.608555
CHL,1998,obesity,19.067703
IRQ,2018,obesity,37.619436
VUT,2008,obesity,17.698276
MNE,2008,obesity,13.672434
VUT,2014,obesity,19.099799
SAU,1996,obesity,24.400237
JOR,2005,obesity,33.11519
MNG,1991,obesity,8.3065748
ARE,1991,obesity,19.294435
DMA,2013,obesity,25.333557
COD,2009,obesity,3.7075665
NIC,1991,obesity,13.51946
BDI,1982,obesity,0.658191
BDI,1983,obesity,0.68397899
BDI,1984,obesity,0.71226563
BDI,1985,obesity,0.74293688
BDI,1986,obesity,0.7761023
BDI,1987,obesity,0.81192655
BDI,1988,obesity,0.85049327
BDI,1989,obesity,0.89205205
BDI,2023,obesity,4.9211722
BDI,2024,obesity,5.1832668
BEL,1980,obesity,10.786044
BEL,1981,obesity,10.902268
BEL,1982,obesity,11.024832
BEL,1983,obesity,11.152825
BEL,1984,obesity,11.285287
BEL,1985,obesity,11.421016
BEL,1986,obesity,11.55896
BEL,1987,obesity,11.698896
BEL,1988,obesity,11.84468
BEL,1989,obesity,11.999707
BEL,2023,obesity,20.525372
BEL,2024,obesity,20.847161
BEN,1980,obesity,1.1037837
BEN,1981,obesity,1.1762422
BEN,1982,obesity,1.2549218
BEN,1983,obesity,1.3403805
BEN,1984,obesity,1.4327379
BEN,1985,obesity,1.5326865
BEN,1986,obesity,1.6404802
BEN,1987,obesity,1.7566286
BEN,1988,obesity,1.8819503
BEN,1989,obesity,2.0173155
BEN,2023,obesity,11.797223
BEN,2024,obesity,12.24725
IND,2014,obesity,4.5767065
CHL,1990,obesity,13.371576
HTI,2020,obesity,9.9718876
PRT,2013,obesity,18.982895
PLW,2021,obesity,40.05838
COL,2018,obesity,21.612406
RUS,2003,obesity,18.888971
OMN,2006,obesity,21.894638
BIH,1994,obesity,12.891729
SEN,2006,obesity,6.0272247
KHM,2018,obesity,3.3869389
BWA,1992,obesity,6.409093
TUV,2007,obesity,56.749457
TKM,2008,obesity,14.995322
PNG,1997,obesity,16.445906
AFG,2013,obesity,11.038119
TGO,2014,obesity,8.022932
NIC,2017,obesity,30.746594
ETH,2002,obesity,0.78513213
STP,2005,obesity,8.9732327
LAO,2002,obesity,2.7093759
GHA,2013,obesity,10.354678
LCA,1998,obesity,15.742025
SWE,2002,obesity,12.761961
JPN,2009,obesity,3.5369281
CHE,2017,obesity,10.495944
BOL,1996,obesity,11.232755
BGD,2014,obesity,2.9932989
BEL,1995,obesity,13.192059
KHM,2010,obesity,1.9760352
PAK,2016,obesity,16.331023
DNK,1995,obesity,9.2063911
BFA,1980,obesity,0.31309891
BFA,1981,obesity,0.33191696
BFA,1982,obesity,0.35266627
BFA,1983,obesity,0.37549976
BFA,1984,obesity,0.40047849
BFA,1985,obesity,0.42787688
BFA,1986,obesity,0.45795562
BFA,1987,obesity,0.49102576
BFA,1988,obesity,0.52742432
BFA,1989,obesity,0.56755641
BFA,2023,obesity,7.2341554
BFA,2024,obesity,7.6878384
BGD,1980,obesity,0.14413897
BGD,1981,obesity,0.15487754
BGD,1982,obesity,0.1668806
BGD,1983,obesity,0.18022167
BGD,1984,obesity,0.19504437
MYS,1999,obesity,8.737772
VEN,2006,obesity,21.262361
AGO,2004,obesity,6.2871307
BLR,2017,obesity,21.535079
ZWE,2013,obesity,10.415119
TKL,2013,obesity,65.811855
SWE,2022,obesity,16.977419
NRU,1992,obesity,66.340411
COG,1990,obesity,2.7695432
CAN,1991,obesity,14.609481
VNM,2019,obesity,1.5939089
GIN,2006,obesity,4.2216513
IRN,1997,obesity,13.501026
GUY,1994,obesity,10.856629
NIC,1993,obesity,14.779568
ETH,2014,obesity,1.6384263
JPN,2022,obesity,5.4727148
FIN,2014,obesity,20.110984
GUY,2009,obesity,19.401738
NGA,2004,obesity,6.3284323
PNG,2011,obesity,22.15302
MKD,2020,obesity,25.336421
SVK,1998,obesity,14.584394
SGP,1998,obesity,4.4364959
KNA,2011,obesity,38.138008
LKA,2019,obesity,8.7727964
BHS,1993,obesity,21.419755
COG,1992,obesity,3.1304598
NRU,2008,obesity,66.620296
ETH,2006,obesity,1.0231861
CPV,1999,obesity,6.2524714
BLR,2015,obesity,21.69091
GRL,2019,obesity,25.837412
BGD,1985,obesity,0.21146403
BGD,1986,obesity,0.22961001
BGD,1987,obesity,0.24974183
BGD,1988,obesity,0.27203003
BGD,1989,obesity,0.29668349
BGD,2023,obesity,5.4300748
BGD,2024,obesity,5.753151
BGR,1980,obesity,10.694911
BGR,1981,obesity,10.798901
BGR,1982,obesity,10.90977
BGR,1983,obesity,11.027823
BGR,1984,obesity,11.14965
BGR,1985,obesity,11.26914
BGR,1986,obesity,11.389489
BGR,1987,obesity,11.515447
BGR,1988,obesity,11.642032
BGR,1989,obesity,11.768539
BRA,2009,obesity,16.950624
OMN,2005,obesity,21.286102
TGO,2002,obesity,3.9840829
CRI,2004,obesity,19.888775
ARE,2015,obesity,31.76173
CZE,1998,obesity,18.98713
POL,2000,obesity,16.809958
AGO,2021,obesity,11.459894
NZL,2003,obesity,23.839782
ISR,2019,obesity,22.527395
KAZ,2003,obesity,14.189298
FSM,2001,obesity,38.448277
BMU,2005,obesity,21.602306
BTN,2022,obesity,11.91409
COL,1999,obesity,11.227655
QAT,2000,obesity,26.005104
BGR,2023,obesity,20.126501
BGR,2024,obesity,20.321831
