freq,unit,asset10,geo,time,value
A,PC_GDP,N111G,BG,1998,1.2
A,PC_GDP,N111G,BG,1999,1.5
A,PC_GDP,N111G,BG,2000,1.5
A,PC_GDP,N111G,BG,2001,1.7
A,PC_GDP,N111G,BG,2002,2.0
A,PC_GDP,N111G,BG,2003,2.0
A,PC_GDP,N111G,BG,2004,2.0
A,PC_GDP,N111G,BG,2005,3.0
A,PC_GDP,N111G,BG,2006,5.5
A,PC_GDP,N111G,BG,2007,5.0
A,PC_GDP,N111G,BG,2008,5.8
A,PC_GDP,N111G,BG,2009,4.7
A,PC_GDP,N111G,BG,2010,2.7
A,PC_GDP,N111G,BG,2011,2.2
A,PC_GDP,N111G,BG,2012,1.7
A,PC_GDP,N111G,BG,2013,1.7
A,PC_GDP,N111G,BG,2014,1.6
A,PC_GDP,N111G,BG,2015,1.4
A,PC_GDP,N111G,BG,2016,2.7
A,PC_GDP,N111G,BG,2017,2.8
A,PC_GDP,N111G,BG,2018,2.7
A,PC_GDP,N111G,BG,2019,2.8
A,PC_GDP,N111G,BG,2020,2.9
A,PC_GDP,N111G,BG,2021,2.7
A,PC_GDP,N111G,BG,2022,2.8
A,PC_GDP,N111G,BG,2023,2.8
A,PC_GDP,N111G,BG,2024,3.9
A,PC_GDP,N111G,BG,2025,4.2
A,PC_GDP,N111G,CH,1995,5.4
A,PC_GDP,N111G,CH,1996,4.7
A,PC_GDP,N111G,CH,1997,4.3
A,PC_GDP,N111G,CH,1998,4.3
A,PC_GDP,N111G,CH,1999,4.2
A,PC_GDP,N111G,CH,2000,4.0
A,PC_GDP,N111G,CH,2001,3.9
A,PC_GDP,N111G,CH,2002,3.8
A,PC_GDP,N111G,CH,2003,4.3
A,PC_GDP,N111G,CH,2004,4.6
A,PC_GDP,N111G,CH,2005,4.8
A,PC_GDP,N111G,CH,2006,4.6
A,PC_GDP,N111G,CH,2007,4.3
A,PC_GDP,N111G,CH,2008,4.3
A,PC_GDP,N111G,CH,2009,4.5
A,PC_GDP,N111G,CH,2010,4.6
A,PC_GDP,N111G,CH,2011,4.9
A,PC_GDP,N111G,CH,2012,4.9
A,PC_GDP,N111G,CH,2013,5.0
A,PC_GDP,N111G,CH,2014,5.0
A,PC_GDP,N111G,CH,2015,5.1
A,PC_GDP,N111G,CH,2016,5.1
A,PC_GDP,N111G,CH,2017,5.0
A,PC_GDP,N111G,CH,2018,4.8
A,PC_GDP,N111G,CH,2019,4.6
A,PC_GDP,N111G,CH,2020,4.7
A,PC_GDP,N111G,CH,2021,4.4
A,PC_GDP,N111G,CH,2022,4.2
A,PC_GDP,N111G,CH,2023,4.0
A,PC_GDP,N111G,CH,2024,3.8
A,PC_GDP,N111G,CY,1995,8.0
A,PC_GDP,N111G,CY,1996,8.6
A,PC_GDP,N111G,CY,1997,7.9
A,PC_GDP,N111G,CY,1998,7.1
A,PC_GDP,N111G,CY,1999,6.9
A,PC_GDP,N111G,CY,2000,6.7
A,PC_GDP,N111G,CY,2001,6.4
A,PC_GDP,N111G,CY,2002,6.8
A,PC_GDP,N111G,CY,2003,8.0
A,PC_GDP,N111G,CY,2004,8.9
A,PC_GDP,N111G,CY,2005,10.3
A,PC_GDP,N111G,CY,2006,11.9
A,PC_GDP,N111G,CY,2007,12.3
A,PC_GDP,N111G,CY,2008,12.1
A,PC_GDP,N111G,CY,2009,9.8
A,PC_GDP,N111G,CY,2010,8.0
A,PC_GDP,N111G,CY,2011,6.2
A,PC_GDP,N111G,CY,2012,4.9
A,PC_GDP,N111G,CY,2013,4.1
A,PC_GDP,N111G,CY,2014,3.9
A,PC_GDP,N111G,CY,2015,3.6
A,PC_GDP,N111G,CY,2016,4.4
A,PC_GDP,N111G,CY,2017,5.0
A,PC_GDP,N111G,CY,2018,6.4
A,PC_GDP,N111G,CY,2019,7.5
A,PC_GDP,N111G,CY,2020,7.9
A,PC_GDP,N111G,CY,2021,8.0
A,PC_GDP,N111G,CY,2022,8.4
A,PC_GDP,N111G,CY,2023,7.9
A,PC_GDP,N111G,CY,2024,8.0
A,PC_GDP,N111G,CY,2025,8.2
A,PC_GDP,N111G,CZ,1995,3.6
A,PC_GDP,N111G,CZ,1996,4.1
A,PC_GDP,N111G,CZ,1997,4.3
A,PC_GDP,N111G,CZ,1998,4.7
A,PC_GDP,N111G,CZ,1999,4.8
A,PC_GDP,N111G,CZ,2000,4.8
A,PC_GDP,N111G,CZ,2001,4.6
A,PC_GDP,N111G,CZ,2002,4.5
A,PC_GDP,N111G,CZ,2003,4.8
A,PC_GDP,N111G,CZ,2004,4.9
A,PC_GDP,N111G,CZ,2005,4.9
A,PC_GDP,N111G,CZ,2006,4.9
A,PC_GDP,N111G,CZ,2007,5.5
A,PC_GDP,N111G,CZ,2008,5.1
A,PC_GDP,N111G,CZ,2009,5.3
A,PC_GDP,N111G,CZ,2010,5.1
A,PC_GDP,N111G,CZ,2011,4.8
A,PC_GDP,N111G,CZ,2012,4.6
A,PC_GDP,N111G,CZ,2013,4.2
A,PC_GDP,N111G,CZ,2014,4.2
A,PC_GDP,N111G,CZ,2015,4.3
A,PC_GDP,N111G,CZ,2016,4.4
A,PC_GDP,N111G,CZ,2017,4.9
A,PC_GDP,N111G,CZ,2018,5.2
A,PC_GDP,N111G,CZ,2019,5.2
A,PC_GDP,N111G,CZ,2020,5.6
A,PC_GDP,N111G,CZ,2021,6.0
A,PC_GDP,N111G,CZ,2022,6.3
A,PC_GDP,N111G,CZ,2023,6.1
A,PC_GDP,N111G,CZ,2024,5.7
A,PC_GDP,N111G,CZ,2025,5.8
A,PC_GDP,N111G,DE,1995,7.6
A,PC_GDP,N111G,DE,1996,7.4
A,PC_GDP,N111G,DE,1997,7.3
A,PC_GDP,N111G,DE,1998,7.1
A,PC_GDP,N111G,DE,1999,7.0
A,PC_GDP,N111G,DE,2000,6.6
A,PC_GDP,N111G,DE,2001,6.0
A,PC_GDP,N111G,DE,2002,5.6
A,PC_GDP,N111G,DE,2003,5.4
A,PC_GDP,N111G,DE,2004,5.2
A,PC_GDP,N111G,DE,2005,5.0
A,PC_GDP,N111G,DE,2006,5.1
A,PC_GDP,N111G,DE,2007,5.1
A,PC_GDP,N111G,DE,2008,5.0
A,PC_GDP,N111G,DE,2009,5.1
A,PC_GDP,N111G,DE,2010,5.1
A,PC_GDP,N111G,DE,2011,5.5
A,PC_GDP,N111G,DE,2012,5.8
A,PC_GDP,N111G,DE,2013,5.7
A,PC_GDP,N111G,DE,2014,5.8
A,PC_GDP,N111G,DE,2015,5.7
A,PC_GDP,N111G,DE,2016,5.9
A,PC_GDP,N111G,DE,2017,5.9
A,PC_GDP,N111G,DE,2018,6.1
A,PC_GDP,N111G,DE,2019,6.3
A,PC_GDP,N111G,DE,2020,6.9
A,PC_GDP,N111G,DE,2021,6.8
A,PC_GDP,N111G,DE,2022,6.9
A,PC_GDP,N111G,DE,2023,6.6
A,PC_GDP,N111G,DE,2024,6.2
A,PC_GDP,N111G,DE,2025,6.1
A,PC_GDP,N111G,DK,1995,3.8
A,PC_GDP,N111G,DK,1996,3.9
A,PC_GDP,N111G,DK,1997,4.2
A,PC_GDP,N111G,DK,1998,4.2
A,PC_GDP,N111G,DK,1999,4.3
A,PC_GDP,N111G,DK,2000,4.7
A,PC_GDP,N111G,DK,2001,4.2
A,PC_GDP,N111G,DK,2002,4.3
A,PC_GDP,N111G,DK,2003,4.9
A,PC_GDP,N111G,DK,2004,5.3
A,PC_GDP,N111G,DK,2005,6.0
A,PC_GDP,N111G,DK,2006,6.7
A,PC_GDP,N111G,DK,2007,6.5
A,PC_GDP,N111G,DK,2008,5.4
A,PC_GDP,N111G,DK,2009,4.2
A,PC_GDP,N111G,DK,2010,3.7
A,PC_GDP,N111G,DK,2011,4.3
A,PC_GDP,N111G,DK,2012,4.1
A,PC_GDP,N111G,DK,2013,3.7
A,PC_GDP,N111G,DK,2014,3.8
A,PC_GDP,N111G,DK,2015,4.0
A,PC_GDP,N111G,DK,2016,4.2
A,PC_GDP,N111G,DK,2017,4.7
A,PC_GDP,N111G,DK,2018,4.8
A,PC_GDP,N111G,DK,2019,5.1
A,PC_GDP,N111G,DK,2020,5.8
A,PC_GDP,N111G,DK,2021,6.2
A,PC_GDP,N111G,DK,2022,5.9
A,PC_GDP,N111G,DK,2023,5.0
A,PC_GDP,N111G,DK,2024,4.2
A,PC_GDP,N111G,DK,2025,3.8
A,PC_GDP,N111G,EA,1995,6.2
A,PC_GDP,N111G,EA,1996,6.1
A,PC_GDP,N111G,EA,1997,6.0
A,PC_GDP,N111G,EA,1998,6.0
A,PC_GDP,N111G,EA,1999,6.1
A,PC_GDP,N111G,EA,2000,6.1
A,PC_GDP,N111G,EA,2001,6.0
A,PC_GDP,N111G,EA,2002,5.9
