mes,indice,keyword,fecha_descarga
2006-03-12,74.0,comprar piso,2026-07-19
2006-03-19,87.0,comprar piso,2026-07-19
2006-03-26,65.0,comprar piso,2026-07-19
2006-04-02,73.0,comprar piso,2026-07-19
2006-04-09,67.0,comprar piso,2026-07-19
2006-04-16,70.0,comprar piso,2026-07-19
2006-04-23,68.0,comprar piso,2026-07-19
2006-04-30,71.0,comprar piso,2026-07-19
2006-05-07,77.0,comprar piso,2026-07-19
2006-05-14,64.0,comprar piso,2026-07-19
2006-05-21,68.0,comprar piso,2026-07-19
2006-05-28,62.0,comprar piso,2026-07-19
2006-06-04,67.0,comprar piso,2026-07-19
2006-06-11,61.0,comprar piso,2026-07-19
2006-06-18,67.0,comprar piso,2026-07-19
2006-06-25,64.0,comprar piso,2026-07-19
2006-07-02,68.0,comprar piso,2026-07-19
2006-07-09,49.0,comprar piso,2026-07-19
2006-07-16,60.0,comprar piso,2026-07-19
2006-07-23,71.0,comprar piso,2026-07-19
2006-07-30,81.0,comprar piso,2026-07-19
2006-08-06,81.0,comprar piso,2026-07-19
2006-08-13,62.0,comprar piso,2026-07-19
2006-08-20,90.0,comprar piso,2026-07-19
2006-08-27,91.0,comprar piso,2026-07-19
2006-09-03,77.0,comprar piso,2026-07-19
2006-09-10,75.0,comprar piso,2026-07-19
2006-09-17,73.0,comprar piso,2026-07-19
2006-09-24,82.0,comprar piso,2026-07-19
2006-10-01,59.0,comprar piso,2026-07-19
2006-10-08,67.0,comprar piso,2026-07-19
2006-10-15,78.0,comprar piso,2026-07-19
2006-10-22,85.0,comprar piso,2026-07-19
2006-10-29,71.0,comprar piso,2026-07-19
2006-11-05,61.0,comprar piso,2026-07-19
2006-11-12,68.0,comprar piso,2026-07-19
2006-11-19,59.0,comprar piso,2026-07-19
2006-11-26,71.0,comprar piso,2026-07-19
2006-12-03,70.0,comprar piso,2026-07-19
2006-12-10,58.0,comprar piso,2026-07-19
2006-12-17,55.0,comprar piso,2026-07-19
2006-12-24,61.0,comprar piso,2026-07-19
2006-12-31,53.0,comprar piso,2026-07-19
2007-01-07,90.0,comprar piso,2026-07-19
2007-01-14,88.0,comprar piso,2026-07-19
2007-01-21,77.0,comprar piso,2026-07-19
2007-01-28,86.0,comprar piso,2026-07-19
2007-02-04,74.0,comprar piso,2026-07-19
2007-02-11,70.0,comprar piso,2026-07-19
2007-02-18,79.0,comprar piso,2026-07-19
2007-02-25,64.0,comprar piso,2026-07-19
2007-03-04,82.0,comprar piso,2026-07-19
2007-03-11,56.0,comprar piso,2026-07-19
2007-03-18,71.0,comprar piso,2026-07-19
2007-03-25,80.0,comprar piso,2026-07-19
2007-04-01,80.0,comprar piso,2026-07-19
2007-04-08,81.0,comprar piso,2026-07-19
2007-04-15,75.0,comprar piso,2026-07-19
2007-04-22,63.0,comprar piso,2026-07-19
2007-04-29,71.0,comprar piso,2026-07-19
2007-05-06,62.0,comprar piso,2026-07-19
2007-05-13,61.0,comprar piso,2026-07-19
2007-05-20,65.0,comprar piso,2026-07-19
2007-05-27,51.0,comprar piso,2026-07-19
2007-06-03,61.0,comprar piso,2026-07-19
2007-06-10,65.0,comprar piso,2026-07-19
2007-06-17,61.0,comprar piso,2026-07-19
2007-06-24,47.0,comprar piso,2026-07-19
2007-07-01,56.0,comprar piso,2026-07-19
2007-07-08,57.0,comprar piso,2026-07-19
2007-07-15,58.0,comprar piso,2026-07-19
2007-07-22,57.0,comprar piso,2026-07-19
2007-07-29,74.0,comprar piso,2026-07-19
2007-08-05,75.0,comprar piso,2026-07-19
2007-08-12,74.0,comprar piso,2026-07-19
2007-08-19,79.0,comprar piso,2026-07-19
2007-08-26,61.0,comprar piso,2026-07-19
2007-09-02,61.0,comprar piso,2026-07-19
2007-09-09,59.0,comprar piso,2026-07-19
2007-09-16,66.0,comprar piso,2026-07-19
2007-09-23,55.0,comprar piso,2026-07-19
2007-09-30,56.0,comprar piso,2026-07-19
2007-10-07,49.0,comprar piso,2026-07-19
2007-10-14,55.0,comprar piso,2026-07-19
2007-10-21,49.0,comprar piso,2026-07-19
2007-10-28,53.0,comprar piso,2026-07-19
2007-11-04,50.0,comprar piso,2026-07-19
2007-11-11,53.0,comprar piso,2026-07-19
2007-11-18,52.0,comprar piso,2026-07-19
2007-11-25,51.0,comprar piso,2026-07-19
2007-12-02,49.0,comprar piso,2026-07-19
2007-12-09,47.0,comprar piso,2026-07-19
2007-12-16,33.0,comprar piso,2026-07-19
2007-12-23,39.0,comprar piso,2026-07-19
2007-12-30,48.0,comprar piso,2026-07-19
2008-01-06,61.0,comprar piso,2026-07-19
2008-01-13,54.0,comprar piso,2026-07-19
2008-01-20,52.0,comprar piso,2026-07-19
2008-01-27,65.0,comprar piso,2026-07-19
2008-02-03,60.0,comprar piso,2026-07-19
2008-02-10,61.0,comprar piso,2026-07-19
2008-02-17,56.0,comprar piso,2026-07-19
2008-02-24,57.0,comprar piso,2026-07-19
2008-03-02,51.0,comprar piso,2026-07-19
2008-03-09,52.0,comprar piso,2026-07-19
2008-03-16,59.0,comprar piso,2026-07-19
2008-03-23,61.0,comprar piso,2026-07-19
2008-03-30,63.0,comprar piso,2026-07-19
2008-04-06,57.0,comprar piso,2026-07-19
2008-04-13,50.0,comprar piso,2026-07-19
2008-04-20,52.0,comprar piso,2026-07-19
2008-04-27,51.0,comprar piso,2026-07-19
2008-05-04,51.0,comprar piso,2026-07-19
2008-05-11,52.0,comprar piso,2026-07-19
2008-05-18,51.0,comprar piso,2026-07-19
2008-05-25,55.0,comprar piso,2026-07-19
2008-06-01,45.0,comprar piso,2026-07-19
2008-06-08,45.0,comprar piso,2026-07-19
2008-06-15,40.0,comprar piso,2026-07-19
2008-06-22,44.0,comprar piso,2026-07-19
2008-06-29,49.0,comprar piso,2026-07-19
2008-07-06,45.0,comprar piso,2026-07-19
2008-07-13,48.0,comprar piso,2026-07-19
2008-07-20,46.0,comprar piso,2026-07-19
2008-07-27,48.0,comprar piso,2026-07-19
2008-08-03,51.0,comprar piso,2026-07-19
2008-08-10,45.0,comprar piso,2026-07-19
2008-08-17,44.0,comprar piso,2026-07-19
2008-08-24,58.0,comprar piso,2026-07-19
2008-08-31,52.0,comprar piso,2026-07-19
2008-09-07,44.0,comprar piso,2026-07-19
2008-09-14,47.0,comprar piso,2026-07-19
2008-09-21,48.0,comprar piso,2026-07-19
2008-09-28,45.0,comprar piso,2026-07-19
2008-10-05,47.0,comprar piso,2026-07-19
2008-10-12,46.0,comprar piso,2026-07-19
2008-10-19,46.0,comprar piso,2026-07-19
2008-10-26,48.0,comprar piso,2026-07-19
2008-11-02,37.0,comprar piso,2026-07-19
2008-11-09,43.0,comprar piso,2026-07-19
2008-11-16,42.0,comprar piso,2026-07-19
2008-11-23,43.0,comprar piso,2026-07-19
2008-11-30,40.0,comprar piso,2026-07-19
2008-12-07,33.0,comprar piso,2026-07-19
2008-12-14,29.0,comprar piso,2026-07-19
2008-12-21,38.0,comprar piso,2026-07-19
2008-12-28,44.0,comprar piso,2026-07-19
2009-01-04,50.34615384615385,comprar piso,2026-07-19
2009-01-11,49.69230769230769,comprar piso,2026-07-19
2009-01-18,53.61538461538461,comprar piso,2026-07-19
2009-01-25,54.92307692307693,comprar piso,2026-07-19
2009-02-01,48.38461538461539,comprar piso,2026-07-19
2009-02-08,48.38461538461539,comprar piso,2026-07-19
2009-02-15,50.34615384615385,comprar piso,2026-07-19
2009-02-22,44.46153846153846,comprar piso,2026-07-19
2009-03-01,44.46153846153846,comprar piso,2026-07-19
2009-03-08,43.15384615384615,comprar piso,2026-07-19
2009-03-15,42.5,comprar piso,2026-07-19
2009-03-22,43.15384615384615,comprar piso,2026-07-19
2009-03-29,42.5,comprar piso,2026-07-19
2009-04-05,43.15384615384615,comprar piso,2026-07-19
2009-04-12,47.73076923076923,comprar piso,2026-07-19
2009-04-19,38.57692307692308,comprar piso,2026-07-19
2009-04-26,37.92307692307693,comprar piso,2026-07-19
2009-05-03,42.5,comprar piso,2026-07-19
2009-05-10,53.61538461538461,comprar piso,2026-07-19
2009-05-17,39.88461538461539,comprar piso,2026-07-19
2009-05-24,50.34615384615385,comprar piso,2026-07-19
2009-05-31,45.11538461538461,comprar piso,2026-07-19
2009-06-07,45.76923076923077,comprar piso,2026-07-19
2009-06-14,45.76923076923077,comprar piso,2026-07-19
2009-06-21,43.15384615384615,comprar piso,2026-07-19
2009-06-28,37.26923076923077,comprar piso,2026-07-19
2009-07-05,50.34615384615385,comprar piso,2026-07-19
2009-07-12,45.11538461538461,comprar piso,2026-07-19
2009-07-19,54.92307692307693,comprar piso,2026-07-19
2009-07-26,54.26923076923077,comprar piso,2026-07-19
2009-08-02,47.73076923076923,comprar piso,2026-07-19
2009-08-09,53.61538461538461,comprar piso,2026-07-19
2009-08-16,55.57692307692308,comprar piso,2026-07-19
2009-08-23,65.38461538461539,comprar piso,2026-07-19
2009-08-30,55.57692307692308,comprar piso,2026-07-19
2009-09-06,60.15384615384615,comprar piso,2026-07-19
2009-09-13,58.84615384615385,comprar piso,2026-07-19
2009-09-20,47.73076923076923,comprar piso,2026-07-19
2009-09-27,54.92307692307693,comprar piso,2026-07-19
2009-10-04,51.0,comprar piso,2026-07-19
2009-10-11,52.30769230769231,comprar piso,2026-07-19
2009-10-18,45.76923076923077,comprar piso,2026-07-19
2009-10-25,48.38461538461539,comprar piso,2026-07-19
2009-11-01,49.03846153846154,comprar piso,2026-07-19
2009-11-08,43.80769230769231,comprar piso,2026-07-19
2009-11-15,45.11538461538461,comprar piso,2026-07-19
2009-11-22,43.80769230769231,comprar piso,2026-07-19
2009-11-29,37.26923076923077,comprar piso,2026-07-19
2009-12-06,44.46153846153846,comprar piso,2026-07-19
2009-12-13,37.26923076923077,comprar piso,2026-07-19
2009-12-20,30.076923076923077,comprar piso,2026-07-19
2009-12-27,42.5,comprar piso,2026-07-19
2010-01-03,38.57692307692308,comprar piso,2026-07-19
2010-01-10,45.11538461538461,comprar piso,2026-07-19
2010-01-17,49.03846153846154,comprar piso,2026-07-19
2010-01-24,48.38461538461539,comprar piso,2026-07-19
2010-01-31,47.07692307692308,comprar piso,2026-07-19
2010-02-07,47.07692307692308,comprar piso,2026-07-19
2010-02-14,43.80769230769231,comprar piso,2026-07-19
2010-02-21,45.76923076923077,comprar piso,2026-07-19
2010-02-28,40.53846153846154,comprar piso,2026-07-19
2010-03-07,47.73076923076923,comprar piso,2026-07-19
2010-03-14,41.19230769230769,comprar piso,2026-07-19
2010-03-21,41.84615384615385,comprar piso,2026-07-19
2010-03-28,43.15384615384615,comprar piso,2026-07-19
2010-04-04,44.46153846153846,comprar piso,2026-07-19
2010-04-11,42.5,comprar piso,2026-07-19
2010-04-18,34.65384615384615,comprar piso,2026-07-19
2010-04-25,42.5,comprar piso,2026-07-19
2010-05-02,36.61538461538461,comprar piso,2026-07-19
2010-05-09,44.46153846153846,comprar piso,2026-07-19
2010-05-16,39.88461538461539,comprar piso,2026-07-19
2010-05-23,39.23076923076923,comprar piso,2026-07-19
2010-05-30,35.30769230769231,comprar piso,2026-07-19
2010-06-06,35.96153846153846,comprar piso,2026-07-19
2010-06-13,32.69230769230769,comprar piso,2026-07-19
2010-06-20,32.03846153846154,comprar piso,2026-07-19
2010-06-27,37.26923076923077,comprar piso,2026-07-19
2010-07-04,31.384615384615387,comprar piso,2026-07-19
2010-07-11,30.73076923076923,comprar piso,2026-07-19
2010-07-18,42.5,comprar piso,2026-07-19
2010-07-25,34.65384615384615,comprar piso,2026-07-19
2010-08-01,41.19230769230769,comprar piso,2026-07-19
2010-08-08,36.61538461538461,comprar piso,2026-07-19
2010-08-15,39.88461538461539,comprar piso,2026-07-19
2010-08-22,39.88461538461539,comprar piso,2026-07-19
2010-08-29,41.19230769230769,comprar piso,2026-07-19
2010-09-05,41.19230769230769,comprar piso,2026-07-19
2010-09-12,34.65384615384615,comprar piso,2026-07-19
2010-09-19,39.23076923076923,comprar piso,2026-07-19
2010-09-26,31.384615384615387,comprar piso,2026-07-19
2010-10-03,34.65384615384615,comprar piso,2026-07-19
2010-10-10,39.23076923076923,comprar piso,2026-07-19
2010-10-17,37.26923076923077,comprar piso,2026-07-19
2010-10-24,32.69230769230769,comprar piso,2026-07-19
2010-10-31,37.92307692307693,comprar piso,2026-07-19
2010-11-07,39.23076923076923,comprar piso,2026-07-19
2010-11-14,39.23076923076923,comprar piso,2026-07-19
2010-11-21,37.26923076923077,comprar piso,2026-07-19
2010-11-28,25.5,comprar piso,2026-07-19
2010-12-05,31.384615384615387,comprar piso,2026-07-19
2010-12-12,30.076923076923077,comprar piso,2026-07-19
2010-12-19,21.576923076923077,comprar piso,2026-07-19
2010-12-26,32.03846153846154,comprar piso,2026-07-19
2011-01-02,34.0,comprar piso,2026-07-19
2011-01-09,38.57692307692308,comprar piso,2026-07-19
2011-01-16,43.80769230769231,comprar piso,2026-07-19
2011-01-23,38.57692307692308,comprar piso,2026-07-19
2011-01-30,39.88461538461539,comprar piso,2026-07-19
2011-02-06,37.92307692307693,comprar piso,2026-07-19
2011-02-13,38.57692307692308,comprar piso,2026-07-19
2011-02-20,43.15384615384615,comprar piso,2026-07-19
2011-02-27,39.88461538461539,comprar piso,2026-07-19
2011-03-06,37.26923076923077,comprar piso,2026-07-19
2011-03-13,34.65384615384615,comprar piso,2026-07-19
2011-03-20,41.84615384615385,comprar piso,2026-07-19
2011-03-27,37.26923076923077,comprar piso,2026-07-19
2011-04-03,33.34615384615385,comprar piso,2026-07-19
2011-04-10,32.69230769230769,comprar piso,2026-07-19
2011-04-17,34.0,comprar piso,2026-07-19
2011-04-24,34.65384615384615,comprar piso,2026-07-19
2011-05-01,37.92307692307693,comprar piso,2026-07-19
2011-05-08,29.423076923076923,comprar piso,2026-07-19
2011-05-15,39.23076923076923,comprar piso,2026-07-19
2011-05-22,34.65384615384615,comprar piso,2026-07-19
2011-05-29,38.57692307692308,comprar piso,2026-07-19
2011-06-05,37.92307692307693,comprar piso,2026-07-19
2011-06-12,35.96153846153846,comprar piso,2026-07-19
2011-06-19,32.03846153846154,comprar piso,2026-07-19
2011-06-26,35.30769230769231,comprar piso,2026-07-19
2011-07-03,29.423076923076923,comprar piso,2026-07-19
2011-07-10,34.65384615384615,comprar piso,2026-07-19
2011-07-17,32.03846153846154,comprar piso,2026-07-19
2011-07-24,38.57692307692308,comprar piso,2026-07-19
2011-07-31,37.26923076923077,comprar piso,2026-07-19
2011-08-07,38.57692307692308,comprar piso,2026-07-19
2011-08-14,37.26923076923077,comprar piso,2026-07-19
2011-08-21,41.84615384615385,comprar piso,2026-07-19
2011-08-28,43.80769230769231,comprar piso,2026-07-19
2011-09-04,37.92307692307693,comprar piso,2026-07-19
2011-09-11,47.73076923076923,comprar piso,2026-07-19
2011-09-18,34.65384615384615,comprar piso,2026-07-19
2011-09-25,37.26923076923077,comprar piso,2026-07-19
2011-10-02,39.88461538461539,comprar piso,2026-07-19
2011-10-09,41.19230769230769,comprar piso,2026-07-19
2011-10-16,33.34615384615385,comprar piso,2026-07-19
2011-10-23,31.384615384615387,comprar piso,2026-07-19
2011-10-30,31.384615384615387,comprar piso,2026-07-19
2011-11-06,34.65384615384615,comprar piso,2026-07-19
2011-11-13,34.0,comprar piso,2026-07-19
2011-11-20,33.34615384615385,comprar piso,2026-07-19
2011-11-27,32.03846153846154,comprar piso,2026-07-19
2011-12-04,28.115384615384617,comprar piso,2026-07-19
2011-12-11,28.76923076923077,comprar piso,2026-07-19
2011-12-18,24.192307692307693,comprar piso,2026-07-19
2011-12-25,31.384615384615387,comprar piso,2026-07-19
2012-01-01,36.61538461538461,comprar piso,2026-07-19
2012-01-08,37.26923076923077,comprar piso,2026-07-19
2012-01-15,34.65384615384615,comprar piso,2026-07-19
2012-01-22,34.65384615384615,comprar piso,2026-07-19
2012-01-29,35.96153846153846,comprar piso,2026-07-19
2012-02-05,35.30769230769231,comprar piso,2026-07-19
2012-02-12,30.076923076923077,comprar piso,2026-07-19
2012-02-19,37.26923076923077,comprar piso,2026-07-19
2012-02-26,32.69230769230769,comprar piso,2026-07-19
2012-03-04,32.69230769230769,comprar piso,2026-07-19
2012-03-11,34.65384615384615,comprar piso,2026-07-19
2012-03-18,34.65384615384615,comprar piso,2026-07-19
2012-03-25,34.0,comprar piso,2026-07-19
2012-04-01,32.69230769230769,comprar piso,2026-07-19
2012-04-08,32.03846153846154,comprar piso,2026-07-19
2012-04-15,33.34615384615385,comprar piso,2026-07-19
2012-04-22,30.73076923076923,comprar piso,2026-07-19
2012-04-29,35.96153846153846,comprar piso,2026-07-19
2012-05-06,35.30769230769231,comprar piso,2026-07-19
2012-05-13,34.65384615384615,comprar piso,2026-07-19
2012-05-20,35.30769230769231,comprar piso,2026-07-19
2012-05-27,35.30769230769231,comprar piso,2026-07-19
2012-06-03,32.03846153846154,comprar piso,2026-07-19
2012-06-10,37.26923076923077,comprar piso,2026-07-19
2012-06-17,34.65384615384615,comprar piso,2026-07-19
2012-06-24,34.65384615384615,comprar piso,2026-07-19
2012-07-01,34.0,comprar piso,2026-07-19
2012-07-08,34.0,comprar piso,2026-07-19
2012-07-15,35.30769230769231,comprar piso,2026-07-19
2012-07-22,37.26923076923077,comprar piso,2026-07-19
2012-07-29,38.57692307692308,comprar piso,2026-07-19
2012-08-05,35.96153846153846,comprar piso,2026-07-19
2012-08-12,38.57692307692308,comprar piso,2026-07-19
2012-08-19,43.15384615384615,comprar piso,2026-07-19
2012-08-26,42.5,comprar piso,2026-07-19
2012-09-02,37.26923076923077,comprar piso,2026-07-19
2012-09-09,43.80769230769231,comprar piso,2026-07-19
2012-09-16,42.5,comprar piso,2026-07-19
2012-09-23,39.23076923076923,comprar piso,2026-07-19
2012-09-30,32.03846153846154,comprar piso,2026-07-19
2012-10-07,34.0,comprar piso,2026-07-19
2012-10-14,40.53846153846154,comprar piso,2026-07-19
2012-10-21,36.61538461538461,comprar piso,2026-07-19
2012-10-28,37.92307692307693,comprar piso,2026-07-19
2012-11-04,35.96153846153846,comprar piso,2026-07-19
2012-11-11,37.92307692307693,comprar piso,2026-07-19
2012-11-18,39.23076923076923,comprar piso,2026-07-19
2012-11-25,37.26923076923077,comprar piso,2026-07-19
2012-12-02,34.65384615384615,comprar piso,2026-07-19
2012-12-09,34.0,comprar piso,2026-07-19
2012-12-16,27.461538461538463,comprar piso,2026-07-19
2012-12-23,31.384615384615387,comprar piso,2026-07-19
2012-12-30,36.61538461538461,comprar piso,2026-07-19
2013-01-06,36.34427767354597,comprar piso,2026-07-19
2013-01-13,36.34427767354597,comprar piso,2026-07-19
